Distance_cm,Timestamp
331,1774014651.7097943
329,1774014651.9367025
326,1774014652.1637933
331,1774014652.3906386
326,1774014652.6173728
328,1774014652.8441985
331,1774014653.0710502
324,1774014653.2979398
327,1774014653.5246873
329,1774014653.751473
328,1774014653.9784474
328,1774014654.2053752
334,1774014654.4321778
325,1774014654.658925
329,1774014654.8856637
332,1774014655.1124651
325,1774014655.3392963
330,1774014655.5661073
328,1774014655.7929747
326,1774014656.0200415
331,1774014656.2470071
330,1774014656.473758
327,1774014656.7005322
327,1774014656.9275045
324,1774014657.1545055
329,1774014657.3813286
323,1774014657.608118
327,1774014657.8348873
330,1774014658.061713
329,1774014658.2885084
329,1774014658.5152924
328,1774014658.7421026
329,1774014658.9690359
330,1774014659.1959379
327,1774014659.4228134
326,1774014659.6495225
329,1774014659.8763156
323,1774014660.1033046
324,1774014660.330205
328,1774014660.557003
332,1774014660.7838275
333,1774014661.0107417
329,1774014661.2376947
327,1774014661.4644856
325,1774014661.6912394
328,1774014661.9180598
327,1774014662.1453102
326,1774014662.3721871
324,1774014662.5989594
325,1774014662.825639
328,1774014663.052502
326,1774014663.2792554
326,1774014663.5061145
329,1774014663.7329822
328,1774014663.9599257
326,1774014664.1868007
329,1774014664.4135156
329,1774014664.6403022
329,1774014664.8670502
322,1774014665.0939996
329,1774014665.3208816
332,1774014665.5476825
333,1774014665.7744892
326,1774014666.0014107
330,1774014666.2282898
327,1774014666.455048
328,1774014666.6817446
325,1774014666.9085312
327,1774014667.135486
331,1774014667.3623555
331,1774014667.5890157
323,1774014667.815695
330,1774014668.0429568
325,1774014668.2698972
324,1774014668.4966142
330,1774014668.7233267
326,1774014668.9501514
327,1774014669.1770477
330,1774014669.4038215
327,1774014669.6306636
326,1774014669.8574488
329,1774014670.0843816
324,1774014670.3112469
333,1774014670.5380454
327,1774014670.764898
328,1774014670.9918075
330,1774014671.2188008
331,1774014671.4455538
322,1774014671.6722965
328,1774014671.8990777
326,1774014672.1259656
327,1774014672.3528821
332,1774014672.5796351
325,1774014672.8064847
329,1774014673.0334063
325,1774014673.2603297
327,1774014673.4870906
326,1774014673.713812
327,1774014673.940645
325,1774014674.1675968
326,1774014674.39443
331,1774014674.6211605
328,1774014674.8478596
333,1774014675.074777
324,1774014675.3016527
329,1774014675.5284657
325,1774014675.75525
324,1774014675.9822497
331,1774014676.2091117
325,1774014676.4359362
324,1774014676.6627693
325,1774014676.889567
331,1774014677.116366
331,1774014677.343251
324,1774014677.5700111
327,1774014677.7967322
327,1774014678.0237193
323,1774014678.2506607
333,1774014678.477361
329,1774014678.7041144
328,1774014678.9308994
326,1774014679.1578376
329,1774014679.3845682
329,1774014679.6113613
328,1774014679.838152
327,1774014680.0584538
320,1774014680.2852888
330,1774014680.5120838
325,1774014680.7387946
327,1774014680.965586
331,1774014681.1924329
334,1774014681.4191725
329,1774014681.645998
325,1774014681.8728259
329,1774014682.0996783
328,1774014682.3266482
326,1774014682.553465
326,1774014682.7802796
328,1774014683.007221
333,1774014683.2341769
330,1774014683.4609911
325,1774014683.6877475
323,1774014683.9144702
327,1774014684.1413617
327,1774014684.3681767
327,1774014684.5949836
323,1774014684.8217936
326,1774014685.0486422
328,1774014685.2754908
327,1774014685.502318
329,1774014685.729121
324,1774014685.956095
325,1774014686.1830866
328,1774014686.4100745
324,1774014686.636899
326,1774014686.863637
331,1774014687.0905118
328,1774014687.31739
329,1774014687.5441976
328,1774014687.7709632
327,1774014687.9979265
324,1774014688.22477
322,1774014688.4516554
327,1774014688.6784387
329,1774014688.9052978
328,1774014689.1321697
323,1774014689.3590689
327,1774014689.5858314
331,1774014689.8126512
331,1774014690.0395145
327,1774014690.2663777
333,1774014690.4931405
328,1774014690.7200277
326,1774014690.9469087
329,1774014691.1738286
326,1774014691.4006941
329,1774014691.6274858
326,1774014691.8543558
327,1774014692.081392
327,1774014692.3082747
327,1774014692.534999
327,1774014692.7618256
324,1774014692.9886699
328,1774014693.215539
326,1774014693.4423769
326,1774014693.6691883
326,1774014693.896054
328,1774014694.1228592
331,1774014694.3497205
331,1774014694.5764763
328,1774014694.803182
330,1774014695.0302014
324,1774014695.2570727
327,1774014695.4838674
329,1774014695.7108042
325,1774014695.9377608
329,1774014696.164719
326,1774014696.3917077
324,1774014696.6186485
329,1774014696.8454835
326,1774014697.072289
331,1774014697.299239
327,1774014697.5260653
326,1774014697.7527888
327,1774014697.9797354
327,1774014698.2016013
328,1774014698.428712
327,1774014698.655737
328,1774014698.882854
328,1774014699.110163
328,1774014699.3373046
331,1774014699.564311
328,1774014699.791292
327,1774014700.0183537
330,1774014700.2455451
328,1774014700.4725637
328,1774014700.699618
324,1774014700.9269335
323,1774014701.1545024
326,1774014701.381345
327,1774014701.6081827
328,1774014701.835011
332,1774014702.0619552
326,1774014702.2888958
326,1774014702.5156322
330,1774014702.7425098
326,1774014702.968602
330,1774014703.1955178
327,1774014703.4226804
328,1774014703.64944
331,1774014703.876237
330,1774014704.1034224
321,1774014704.3303976
330,1774014704.55717
327,1774014704.7839696
328,1774014705.0108933
325,1774014705.234801
327,1774014705.4615462
325,1774014705.6883523
329,1774014705.9150872
327,1774014706.1373293
323,1774014706.3641675
321,1774014706.5910141
327,1774014706.817776
329,1774014707.0456715
331,1774014707.2725663
327,1774014707.4992561
325,1774014707.7260864
331,1774014707.953057
329,1774014708.1746466
326,1774014708.4014454
324,1774014708.6283205
328,1774014708.8550642
327,1774014709.0820343
327,1774014709.3089018
326,1774014709.5356007
330,1774014709.7624378
330,1774014709.9893768
327,1774014710.2163577
327,1774014710.4432144
329,1774014710.6700008
331,1774014710.8968468
327,1774014711.1236942
325,1774014711.3506522
326,1774014711.577503
330,1774014711.8042076
330,1774014712.0312464
325,1774014712.2586236
330,1774014712.485371
330,1774014712.7124135
328,1774014712.9396434
329,1774014713.1667843
324,1774014713.3937898
326,1774014713.6207838
330,1774014713.847496
327,1774014714.0746942
332,1774014714.3019447
326,1774014714.5290139
325,1774014714.756032
330,1774014714.9832084
329,1774014715.2057383
331,1774014715.4328458
327,1774014715.6599493
329,1774014715.8869662
331,1774014716.1143954
326,1774014716.341542
324,1774014716.5682936
328,1774014716.7952814
323,1774014717.0204067
328,1774014717.247574
330,1774014717.4743724
330,1774014717.7013724
327,1774014717.9281466
328,1774014718.152609
331,1774014718.379439
326,1774014718.6065016
326,1774014718.833466
332,1774014719.0606475
326,1774014719.287957
328,1774014719.5148995
329,1774014719.7416852
327,1774014719.968853
324,1774014720.195773
327,1774014720.4228442
331,1774014720.6498954
332,1774014720.8768415
330,1774014721.1040013
325,1774014721.3308272
332,1774014721.55778
333,1774014721.7845514
331,1774014722.0117846
330,1774014722.2389643
323,1774014722.465992
325,1774014722.6929986
325,1774014722.9200172
330,1774014723.1471124
327,1774014723.3743258
326,1774014723.6013513
329,1774014723.8283503
331,1774014724.0554748
328,1774014724.2824461
331,1774014724.5094247
333,1774014724.736439
333,1774014724.9636536
329,1774014725.1907356
332,1774014725.4177153
328,1774014725.6448667
333,1774014725.8718052
327,1774014726.0989997
332,1774014726.3261573
327,1774014726.5531259
326,1774014726.7801096
328,1774014727.0077574
329,1774014727.2347734
334,1774014727.4617567
339,1774014727.688745
343,1774014727.9157078
347,1774014728.1429
338,1774014728.3700304
332,1774014728.5969586
309,1774014728.8239992
291,1774014729.0514798
278,1774014729.2784352
269,1774014729.5055766
257,1774014729.7326376
253,1774014729.9597785
247,1774014730.1869993
242,1774014730.4139953
242,1774014730.640609
238,1774014730.867866
234,1774014731.0949514
239,1774014731.322227
250,1774014731.5492854
257,1774014731.7765484
267,1774014732.0038579
279,1774014732.2314286
299,1774014732.4582
312,1774014732.6852937
320,1774014732.912565
335,1774014733.139669
344,1774014733.3669655
338,1774014733.5941095
340,1774014733.820887
339,1774014734.0428555
343,1774014734.2696478
338,1774014734.496352
342,1774014734.7234664
336,1774014734.9505022
339,1774014735.177827
339,1774014735.4046643
337,1774014735.6313431
343,1774014735.8581595
339,1774014736.0849733
