X_mm,Y_mm,Timestamp
262,704,1771844435.2245712
261,703,1771844435.3401039
260,700,1771844435.3401039
262,708,1771844435.4015598
260,708,1771844435.4015598
260,704,1771844435.4634616
262,705,1771844435.5372102
260,604,1771844435.5843005
264,704,1771844435.5843005
260,703,1771844435.6486814
263,700,1771844435.7024913
180,700,1771844435.769892
261,704,1771844435.8371406
261,700,1771844435.8371406
262,705,1771844435.891513
133,704,1771844435.9542832
259,707,1771844436.0162957
260,700,1771844436.079192
260,700,1771844436.1422203
260,704,1771844436.1609569
100,704,1771844436.223942
260,703,1771844436.2695143
260,704,1771844436.336266
260,521,1771844436.4177377
259,704,1771844436.4191885
260,700,1771844436.4531689
118,700,1771844436.5199928
259,700,1771844436.5869167
260,705,1771844436.5869167
260,704,1771844436.6531682
260,704,1771844436.7526784
260,700,1771844436.7526784
260,704,1771844436.814655
261,699,1771844436.8671122
265,700,1771844436.921338
265,500,1771844436.984584
265,693,1771844436.984584
266,695,1771844437.056023
265,694,1771844437.1218603
265,695,1771844437.18534
265,688,1771844437.18534
265,686,1771844437.259002
266,683,1771844437.33308
266,677,1771844437.3964593
265,678,1771844437.3964593
187,678,1771844437.4572964
265,675,1771844437.5230775
265,672,1771844437.584127
265,666,1771844437.584127
265,667,1771844437.6501174
167,669,1771844437.711008
265,667,1771844437.7736232
270,650,1771844437.8473873
266,664,1771844437.8474584
264,656,1771844437.9125943
276,654,1771844437.9547014
269,653,1771844438.0262172
394,340,1771844438.0813453
399,644,1771844438.0813453
295,640,1771844438.1554472
277,646,1771844438.218341
271,641,1771844438.279041
272,409,1771844438.3443499
271,637,1771844438.3443499
277,633,1771844438.4076765
293,627,1771844438.4705484
404,628,1771844438.533802
407,631,1771844438.6071036
278,625,1771844438.6071036
274,618,1771844438.6911826
270,619,1771844438.6911826
270,618,1771844438.7624445
271,614,1771844438.8179812
274,612,1771844438.8808572
279,493,1771844438.951515
268,609,1771844438.951515
269,607,1771844438.995439
273,604,1771844439.0669835
265,606,1771844439.1410544
265,598,1771844439.2073708
266,596,1771844439.2073708
269,595,1771844439.2586975
269,593,1771844439.323824
268,591,1771844439.384966
270,587,1771844439.384966
265,584,1771844439.4401257
269,582,1771844439.5140352
264,581,1771844439.5772622
263,433,1771844439.6405053
267,581,1771844439.6405053
268,574,1771844439.7014294
265,572,1771844439.7667794
268,570,1771844439.8299558
269,371,1771844439.8924918
268,564,1771844439.8924918
270,562,1771844439.9555264
272,560,1771844440.0505013
269,558,1771844440.124471
264,556,1771844440.124471
267,311,1771844440.1872349
269,551,1771844440.1872349
262,548,1771844440.2485297
260,547,1771844440.303185
262,543,1771844440.3660438
260,367,1771844440.4294426
260,538,1771844440.4294426
266,536,1771844440.511004
261,535,1771844440.5837383
262,533,1771844440.6599054
259,531,1771844440.6599054
175,528,1771844440.710326
259,526,1771844440.7759058
261,270,1771844440.839808
261,522,1771844440.839808
271,519,1771844440.8994281
264,517,1771844440.9648747
265,514,1771844441.049252
264,513,1771844441.049252
278,510,1771844441.1125898
270,509,1771844441.1756005
260,253,1771844441.2366056
260,503,1771844441.2366056
262,501,1771844441.2913327
227,499,1771844441.362965
274,496,1771844441.4176273
271,494,1771844441.480408
261,272,1771844441.5520535
255,489,1771844441.5520535
266,487,1771844441.607015
273,486,1771844441.6703506
285,482,1771844441.7314
279,480,1771844441.7314
262,478,1771844441.80706
256,477,1771844441.8577797
257,478,1771844441.912447
255,475,1771844441.9863334
407,470,1771844441.9863334
294,466,1771844442.0496838
188,464,1771844442.1130245
247,466,1771844442.1766274
244,461,1771844442.2398777
252,458,1771844442.2398777
404,456,1771844442.300222
371,452,1771844442.3655438
404,450,1771844442.428916
264,259,1771844442.4920278
267,447,1771844442.4920278
404,443,1771844442.5447228
403,442,1771844442.6165287
404,438,1771844442.681885
255,440,1771844442.764261
249,434,1771844442.764261
240,432,1771844442.8298213
237,422,1771844442.892873
238,433,1771844442.892873
144,426,1771844442.9667687
236,422,1771844443.0291045
236,426,1771844443.0291045
235,418,1771844443.0922096
235,417,1771844443.1495776
234,415,1771844443.2051747
243,411,1771844443.2743578
243,409,1771844443.2743578
248,408,1771844443.3514977
248,404,1771844443.4333704
278,402,1771844443.4989958
274,404,1771844443.4989958
138,403,1771844443.5520065
271,396,1771844443.615405
272,393,1771844443.6789396
268,396,1771844443.6789396
258,393,1771844443.7504907
184,387,1771844443.8265972
250,233,1771844443.8897123
246,386,1771844443.8897123
252,380,1771844443.942592
153,382,1771844444.003743
251,380,1771844444.0691202
261,377,1771844444.132429
263,371,1771844444.1406755
249,369,1771844444.1933281
244,365,1771844444.2583466
243,364,1771844444.3194122
247,365,1771844444.3847709
264,358,1771844444.3847709
268,357,1771844444.4481096
248,359,1771844444.511474
247,357,1771844444.5745378
245,354,1771844444.6484494
256,348,1771844444.6484494
160,350,1771844444.7200544
276,347,1771844444.7854824
257,345,1771844444.7854824
259,339,1771844444.8380754
264,336,1771844444.9021094
524,334,1771844444.9436133
