X_mm,Y_mm,Timestamp
256,521,1771844006.662119
263,523,1771844006.7138658
261,517,1771844006.7878368
253,515,1771844006.8401306
257,508,1771844006.9030042
252,510,1771844007.039203
260,507,1771844007.039203
275,505,1771844007.039203
288,503,1771844007.0915823
322,501,1771844007.1599262
258,488,1771844007.2171106
255,496,1771844007.2171106
253,494,1771844007.2697399
250,493,1771844007.3183396
250,482,1771844007.4151428
245,486,1771844007.47617
242,482,1771844007.5397902
246,480,1771844007.613671
249,478,1771844007.674038
254,477,1771844007.674038
255,479,1771844007.72289
253,477,1771844007.7926893
257,477,1771844007.8541021
254,478,1771844007.8983536
258,477,1771844007.9507968
257,477,1771844008.0222442
245,477,1771844008.0222442
285,479,1771844008.08495
282,474,1771844008.1295161
257,478,1771844008.1820076
257,475,1771844008.234561
254,478,1771844008.284808
251,475,1771844008.3432941
281,478,1771844008.3934836
282,478,1771844008.4527287
257,474,1771844008.5185578
258,474,1771844008.57184
252,479,1771844008.57184
249,481,1771844008.6262922
250,483,1771844008.6902478
254,482,1771844008.735272
253,484,1771844008.8113422
311,486,1771844008.8721344
307,493,1771844008.9268544
261,491,1771844008.9268544
248,493,1771844008.9795656
253,500,1771844009.0612028
260,502,1771844009.105431
281,504,1771844009.1690416
278,503,1771844009.1690416
275,505,1771844009.2429984
271,511,1771844009.3041089
261,513,1771844009.3591394
256,516,1771844009.4226906
254,514,1771844009.4226906
261,516,1771844009.4860919
261,518,1771844009.560107
257,525,1771844009.6128876
254,523,1771844009.6128876
257,529,1771844009.6762276
265,532,1771844009.7479506
265,534,1771844009.8091016
261,531,1771844009.865455
265,535,1771844009.865455
265,535,1771844009.93255
275,542,1771844010.0023258
274,542,1771844010.0741394
270,542,1771844010.0741394
280,550,1771844010.129039
257,548,1771844010.1919465
337,555,1771844010.2655842
316,557,1771844010.2655842
300,559,1771844010.3234403
313,557,1771844010.381436
251,560,1771844010.4447742
252,562,1771844010.508128
247,537,1771844010.5820189
248,569,1771844010.5820189
243,573,1771844010.6453395
244,570,1771844010.7085154
240,574,1771844010.769631
240,579,1771844010.8245661
236,577,1771844010.832884
236,583,1771844010.8874402
240,582,1771844010.9606538
235,584,1771844011.0210676
236,587,1771844011.0761037
237,593,1771844011.0761037
240,592,1771844011.139418
237,593,1771844011.2207267
235,601,1771844011.264813
246,598,1771844011.264813
240,606,1771844011.3279476
239,604,1771844011.391067
240,605,1771844011.461849
241,607,1771844011.527283
236,615,1771844011.527283
239,613,1771844011.58803
241,615,1771844011.6433258
242,620,1771844011.7066185
242,619,1771844011.76991
241,627,1771844011.76991
241,623,1771844011.8121715
243,625,1771844011.8651345
238,632,1771844011.9179044
237,631,1771844011.9812365
243,632,1771844012.0446823
239,639,1771844012.1158085
238,638,1771844012.1715784
239,639,1771844012.1715784
236,643,1771844012.2325048
239,648,1771844012.286827
242,650,1771844012.3494797
238,648,1771844012.4097252
238,652,1771844012.4607208
239,653,1771844012.515285
234,657,1771844012.5781362
235,658,1771844012.5781362
234,664,1771844012.63745
235,663,1771844012.6905565
239,665,1771844012.7440495
240,667,1771844012.7965832
244,673,1771844012.8582447
244,427,1771844012.9294
244,674,1771844012.9294
