X_mm,Y_mm,Timestamp
1492,1008,1771515318.2108965
1478,1243,1771515327.1533713
1470,1256,1771515328.1428635
1503,1269,1771515329.1511502
1494,1117,1771515330.1366928
1474,1183,1771515331.1367042
1466,1171,1771515332.1336198
1466,980,1771515333.121589
1470,963,1771515334.1219678
1500,914,1771515335.122516
1482,792,1771515336.1131735
1478,888,1771515337.1050923
1495,3718,1771515366.9649453
1482,3699,1771515367.965295
1482,3712,1771515368.9734938
1487,3716,1771515369.9596324
1473,3702,1771515370.9545252
1494,3698,1771515371.9389813
1478,3705,1771515372.9349203
1474,3715,1771515373.9339478
