X_mm,Y_mm,Timestamp
169,938,1771841280.048902
169,2009,1771841280.048902
169,3822,1771841280.090441
169,3038,1771841280.1429014
169,3410,1771841280.1930418
169,1345,1771841286.7257373
169,1343,1771841289.0097334
169,1333,1771841289.0542414
169,1341,1771841289.0542414
169,1332,1771841289.0542414
169,1341,1771841289.0542414
166,592,1771841289.0542414
169,1342,1771841289.0542414
169,1351,1771841289.0542414
169,3759,1771841289.117281
165,1341,1771841289.2865226
165,1347,1771841289.3498323
165,1341,1771841289.3498323
165,1350,1771841289.4132383
169,1080,1771841289.4765747
166,1338,1771841289.4765747
165,1343,1771841289.5397933
169,1339,1771841289.6033177
165,1344,1771841289.6774275
169,1331,1771841289.6774275
170,1341,1771841289.7303896
162,1340,1771841289.8045988
169,1335,1771841289.8572247
169,375,1771841289.920728
170,1349,1771841289.920728
169,1324,1771841289.9926581
169,1345,1771841290.0474098
169,1365,1771841290.108285
169,1343,1771841290.1603694
165,804,1771841290.2248006
169,1349,1771841290.2799644
170,1358,1771841290.3434093
169,1348,1771841290.415293
165,1335,1771841290.4705331
165,1344,1771841290.4705331
165,1344,1771841290.533831
170,1336,1771841290.597335
169,1345,1771841290.6612027
169,1333,1771841290.7246983
165,1333,1771841290.7246983
169,1349,1771841290.7882614
169,1336,1771841290.8513303
165,1348,1771841290.9148057
165,616,1771841290.978359
166,2926,1771841291.0419226
165,1335,1771841291.0419226
165,1347,1771841291.2322927
165,1332,1771841291.3062165
165,1353,1771841291.3062165
166,1371,1771841291.3590739
165,1348,1771841291.4226327
165,631,1771841291.4860637
165,3209,1771841291.549525
165,1365,1771841291.549525
169,1343,1771841291.6131232
165,1345,1771841291.6765702
165,802,1771841291.7401903
165,1359,1771841291.7401903
165,1341,1771841291.9489112
165,1351,1771841291.993434
169,2374,1771841292.057183
169,1333,1771841292.057183
169,1341,1771841292.2669988
169,1342,1771841292.4638963
169,1341,1771841292.4638963
169,1349,1771841292.4638963
169,267,1771841292.6728802
165,1371,1771841292.6728802
165,1354,1771841292.6728802
169,1335,1771841292.6728802
166,1340,1771841292.77832
165,1335,1771841292.77832
169,1337,1771841292.77832
169,1334,1771841292.8654
169,1340,1771841292.8654
169,863,1771841292.928502
165,1345,1771841292.928502
165,1354,1771841293.076263
165,1332,1771841293.139232
166,1358,1771841293.4880888
165,1336,1771841293.4880888
169,1341,1771841293.4880888
169,1339,1771841293.5408
169,1357,1771841293.5408
169,1340,1771841293.5408
169,1354,1771841293.5408
169,1344,1771841293.5408
169,1367,1771841293.794406
169,1339,1771841293.994294
169,1343,1771841293.994294
169,1334,1771841293.994294
169,1354,1771841294.2034976
169,1340,1771841294.2034976
169,1337,1771841294.2034976
169,1350,1771841294.4066083
170,1351,1771841294.4687374
126,1352,1771841294.4687374
169,1340,1771841294.4694743
169,1354,1771841294.6131656
169,802,1771841294.6575058
169,1338,1771841294.6575058
170,1358,1771841295.0262785
169,1345,1771841295.0789115
169,1354,1771841295.0789115
169,918,1771841295.121359
165,1345,1771841295.3223188
169,1361,1771841295.5332987
169,1238,1771841295.5332987
169,1341,1771841295.5332987
170,1342,1771841298.111568
169,1348,1771841298.111568
169,1339,1771841298.111568
165,269,1771841298.1747732
169,1341,1771841298.1747732
165,1351,1771841298.1747732
165,1331,1771841298.1747732
170,1331,1771841298.1747732
169,1328,1771841298.1747732
165,1341,1771841298.1747732
165,1349,1771841298.1747732
165,1331,1771841298.1747732
169,1353,1771841298.1747732
169,1340,1771841298.1747732
169,1345,1771841298.1747732
165,1336,1771841298.1747732
169,1347,1771841299.9362073
165,1345,1771841300.4447265
169,1346,1771841300.497343
169,1345,1771841300.5608962
169,1639,1771841300.6244812
169,3920,1771841300.70798
169,1347,1771841300.70798
169,1358,1771841300.792873
169,1343,1771841300.8428628
169,1341,1771841300.961332
165,1344,1771841301.0247705
165,1285,1771841301.0875351
165,2494,1771841301.2655606
169,1343,1771841301.2655606
169,919,1771841301.3183334
165,1343,1771841301.3183334
169,1346,1771841301.4430215
169,869,1771841301.4974492
169,1351,1771841301.550307
169,1332,1771841301.6769826
169,1329,1771841301.7484536
165,1184,1771841301.8036854
169,1322,1771841301.8036854
165,1330,1771841301.866464
169,1327,1771841301.9382231
169,1323,1771841301.9936266
169,1272,1771841302.065507
169,1329,1771841302.065507
169,1331,1771841302.1207576
169,1330,1771841302.1949449
169,1215,1771841302.248018
169,1326,1771841302.248018
169,1331,1771841302.3111231
169,1333,1771841302.3746555
169,1330,1771841302.446084
169,449,1771841302.596544
169,1332,1771841302.596544
169,1346,1771841302.804246
169,804,1771841302.8691545
169,3333,1771841302.9302783
169,746,1771841310.0758605
169,2886,1771841310.1390626
165,1368,1771841312.4235253
165,1372,1771841313.9802697
165,1339,1771841314.0459356
169,1344,1771841314.0988817
165,1341,1771841314.162104
169,1362,1771841314.225688
169,1336,1771841314.225688
169,1344,1771841314.2974863
165,1344,1771841314.351664
169,1341,1771841314.4147723
165,508,1771841314.478049
