Distance_cm,Timestamp
315,1774017736.1204228
314,1774017736.2671657
314,1774017736.4139998
314,1774017736.5609634
313,1774017736.7077565
317,1774017736.8544886
315,1774017737.0013003
312,1774017737.1479974
314,1774017737.2947752
313,1774017737.4416413
312,1774017737.588509
313,1774017737.735279
315,1774017737.8819685
319,1774017738.0286572
314,1774017738.1754184
316,1774017738.322117
314,1774017738.4690847
317,1774017738.6159387
323,1774017738.7627678
315,1774017738.9094918
314,1774017739.0562136
317,1774017739.2028794
312,1774017739.349591
314,1774017739.4966846
317,1774017739.6350453
318,1774017739.7797177
0,1774017739.9264894
248,1774017753.9781058
248,1774017754.0703707
246,1774017754.16265
245,1774017754.254671
245,1774017754.34668
242,1774017754.435119
248,1774017754.5271893
243,1774017754.6191497
243,1774017754.7110913
247,1774017754.8030448
243,1774017754.8949704
244,1774017754.9868944
246,1774017755.0788178
246,1774017755.1707222
242,1774017755.262651
246,1774017755.3545918
244,1774017755.446744
245,1774017755.538749
245,1774017755.6306775
245,1774017755.722556
243,1774017755.8144495
243,1774017755.9063478
242,1774017755.9982734
246,1774017756.0901706
247,1774017756.1820407
242,1774017756.2739139
243,1774017756.3658128
242,1774017756.457906
244,1774017756.5499144
242,1774017756.6418025
237,1774017756.7336686
241,1774017756.8255348
241,1774017756.91743
242,1774017757.0093179
240,1774017757.101186
242,1774017757.1930735
238,1774017757.2849388
242,1774017757.3768265
245,1774017757.470029
241,1774017757.562139
239,1774017757.6541042
242,1774017757.745994
240,1774017757.8378835
239,1774017757.9297945
237,1774017758.0217056
235,1774017758.1135838
239,1774017758.2160916
239,1774017758.3629124
243,1774017758.5099847
240,1774017758.6568847
242,1774017758.8036587
237,1774017758.9503446
238,1774017759.0970259
232,1774017759.243752
237,1774017759.390461
238,1774017759.5374691
237,1774017759.6843255
236,1774017759.8310285
236,1774017759.9777808
233,1774017760.1244583
238,1774017760.2711241
234,1774017760.4191098
236,1774017760.5560782
239,1774017760.7025218
242,1774017760.8492548
237,1774017760.9959621
239,1774017761.142608
239,1774017761.2894409
236,1774017761.4363458
234,1774017761.5749156
236,1774017761.7194643
242,1774017761.8668137
235,1774017762.0138783
236,1774017762.1612704
237,1774017762.3082972
238,1774017762.4557889
242,1774017762.603028
241,1774017762.750321
238,1774017762.8970594
239,1774017763.044317
241,1774017763.19158
237,1774017763.3388817
238,1774017763.485965
233,1774017763.626449
238,1774017763.7697933
235,1774017763.9165354
236,1774017764.063826
239,1774017764.2105536
240,1774017764.3576374
235,1774017764.5049295
234,1774017764.6517835
236,1774017764.7985559
235,1774017764.945461
239,1774017765.092492
244,1774017765.23952
238,1774017765.3865511
236,1774017765.5338066
237,1774017765.6809993
235,1774017765.8277338
236,1774017765.974781
235,1774017766.1218438
243,1774017766.2689269
237,1774017766.4158788
234,1774017766.5628333
237,1774017766.709647
239,1774017766.8566322
235,1774017767.0034199
236,1774017767.1504412
239,1774017767.2974937
239,1774017767.4447052
234,1774017767.5920248
242,1774017767.7390494
238,1774017767.8857968
236,1774017768.0328615
236,1774017768.1796567
236,1774017768.3265522
234,1774017768.4734983
237,1774017768.620403
237,1774017768.7674198
237,1774017768.914493
236,1774017769.0616176
236,1774017769.2086277
232,1774017769.3556414
237,1774017769.5030587
237,1774017769.6500323
236,1774017769.7968798
238,1774017769.9436011
237,1774017770.0903254
233,1774017770.2371283
237,1774017770.3838656
235,1774017770.5307834
233,1774017770.677614
238,1774017770.8243325
238,1774017770.9710238
234,1774017771.1177459
238,1774017771.2644513
236,1774017771.411334
238,1774017771.5582979
236,1774017771.7051177
235,1774017771.8518097
235,1774017771.9985301
237,1774017772.145272
241,1774017772.2919645
235,1774017772.4388359
237,1774017772.5856986
237,1774017772.7324047
237,1774017772.8790576
236,1774017773.0257788
238,1774017773.1725135
241,1774017773.3191998
237,1774017773.4660869
238,1774017773.6129072
238,1774017773.7596574
240,1774017773.906284
239,1774017774.0530298
237,1774017774.199771
238,1774017774.3464596
235,1774017774.4934657
237,1774017774.640304
237,1774017774.7869942
239,1774017774.933738
235,1774017775.080414
237,1774017775.227103
241,1774017775.3737974
235,1774017775.5208879
235,1774017775.6552634
237,1774017775.8020244
238,1774017775.9487047
235,1774017776.0954096
236,1774017776.242146
239,1774017776.3889575
237,1774017776.5358205
241,1774017776.6827009
238,1774017776.8294482
237,1774017776.976133
235,1774017777.1228285
239,1774017777.269545
240,1774017777.4163663
235,1774017777.5633056
236,1774017777.7101917
239,1774017777.8569803
235,1774017778.0037177
234,1774017778.1504335
237,1774017778.2975268
237,1774017778.444573
234,1774017778.5914328
239,1774017778.7382395
239,1774017778.8849893
239,1774017779.0317163
238,1774017779.1784754
237,1774017779.325249
239,1774017779.4721797
239,1774017779.6190677
239,1774017779.7658124
237,1774017779.9124699
240,1774017780.0591419
236,1774017780.2058692
240,1774017780.3525882
240,1774017780.4994595
239,1774017780.6462824
241,1774017780.7930272
241,1774017780.9398434
238,1774017781.0869539
239,1774017781.2339919
242,1774017781.3810387
241,1774017781.5236404
243,1774017781.6652234
242,1774017781.812267
242,1774017781.9592822
240,1774017782.106067
243,1774017782.2531538
244,1774017782.399895
242,1774017782.5469172
239,1774017782.6937428
242,1774017782.8405113
242,1774017782.9872966
242,1774017783.1340365
239,1774017783.2807322
243,1774017783.4275713
245,1774017783.5745175
240,1774017783.7212887
244,1774017783.8681204
244,1774017784.0148625
247,1774017784.1615257
241,1774017784.3082402
250,1774017784.4551208
244,1774017784.6019897
247,1774017784.7486887
246,1774017784.895429
246,1774017785.0421526
244,1774017785.1889944
244,1774017785.3357732
247,1774017785.4826257
245,1774017785.6294467
245,1774017785.7761488
245,1774017785.92289
243,1774017786.0696363
248,1774017786.216373
243,1774017786.3631017
243,1774017786.5101402
244,1774017786.6570005
241,1774017786.803717
240,1774017786.9504445
243,1774017787.097201
246,1774017787.2439463
246,1774017787.390642
237,1774017787.537752
246,1774017787.6845918
240,1774017787.831309
243,1774017787.9780376
243,1774017788.1247375
240,1774017788.2715182
240,1774017788.418455
240,1774017788.5654395
241,1774017788.712138
240,1774017788.858863
243,1774017789.0055053
242,1774017789.15215
242,1774017789.2988706
245,1774017789.4457164
238,1774017789.5925949
241,1774017789.7392986
242,1774017789.8860257
240,1774017790.0327792
241,1774017790.1794353
239,1774017790.3261302
243,1774017790.4731581
242,1774017790.6201086
243,1774017790.7668147
242,1774017790.9134984
237,1774017791.0602183
242,1774017791.2069328
240,1774017791.353696
239,1774017791.5005493
243,1774017791.6473722
236,1774017791.794112
234,1774017791.9408476
237,1774017792.0875862
239,1774017792.2343204
240,1774017792.3810127
239,1774017792.5278578
241,1774017792.6747031
237,1774017792.8214443
239,1774017792.968121
234,1774017793.1148822
239,1774017793.2615938
240,1774017793.4084141
238,1774017793.5498996
239,1774017793.692124
242,1774017793.838862
234,1774017793.9855201
240,1774017794.132235
236,1774017794.2789521
243,1774017794.4257991
240,1774017794.5727348
239,1774017794.7194943
239,1774017794.8662488
239,1774017795.0129983
238,1774017795.1597211
237,1774017795.3064775
241,1774017795.4534605
244,1774017795.600347
241,1774017795.7470737
237,1774017795.893784
239,1774017796.040492
238,1774017796.187222
242,1774017796.3339014
238,1774017796.4807558
240,1774017796.6275792
238,1774017796.7742887
241,1774017796.920986
240,1774017797.0677068
245,1774017797.2144494
242,1774017797.3612103
245,1774017797.5080016
242,1774017797.6548202
243,1774017797.8015225
243,1774017797.9482157
247,1774017798.0948877
241,1774017798.2416592
243,1774017798.388378
246,1774017798.535178
246,1774017798.6820178
243,1774017798.828689
244,1774017798.9753473
244,1774017799.1220782
247,1774017799.26888
240,1774017799.4156952
245,1774017799.554299
242,1774017799.699352
246,1774017799.846069
246,1774017799.9927866
248,1774017800.139484
245,1774017800.2862499
250,1774017800.433164
249,1774017800.5800087
253,1774017800.7267113
246,1774017800.8734593
248,1774017801.0201347
247,1774017801.1668475
248,1774017801.3135674
253,1774017801.4604626
247,1774017801.6073027
246,1774017801.7540696
250,1774017801.900843
246,1774017802.0475347
249,1774017802.1942837
247,1774017802.3411167
247,1774017802.48802
251,1774017802.6348639
249,1774017802.7816174
247,1774017802.9282773
252,1774017803.0749838
247,1774017803.2216995
249,1774017803.3684037
246,1774017803.515358
244,1774017803.6621969
241,1774017803.8089075
242,1774017803.9555829
243,1774017804.1022892
245,1774017804.249026
242,1774017804.3957431
246,1774017804.5425463
243,1774017804.689441
243,1774017804.8361406
244,1774017804.9828734
240,1774017805.1296124
243,1774017805.2763386
243,1774017805.423192
241,1774017805.5703351
240,1774017805.717214
242,1774017805.8639293
243,1774017806.0108805
246,1774017806.1576555
242,1774017806.3043664
239,1774017806.451225
245,1774017806.5981195
240,1774017806.7448926
245,1774017806.8915887
246,1774017807.0382812
246,1774017807.1849756
244,1774017807.331712
245,1774017807.478645
247,1774017807.625531
240,1774017807.77228
243,1774017807.9189606
247,1774017808.0656672
245,1774017808.212375
245,1774017808.3593078
246,1774017808.49967
244,1774017808.6431894
247,1774017808.7899015
248,1774017808.9366097
245,1774017809.0833385
243,1774017809.2300313
247,1774017809.376719
243,1774017809.5174417
245,1774017809.6604488
245,1774017809.8071568
245,1774017809.9539077
246,1774017810.1006408
245,1774017810.2473288
246,1774017810.3941658
247,1774017810.5362558
