Distance_cm,Timestamp
218,1774018518.667985
220,1774018518.8148174
221,1774018518.961552
221,1774018519.1082318
221,1774018519.254925
220,1774018519.401604
217,1774018519.5487587
221,1774018519.6956265
218,1774018519.8423572
219,1774018519.9890964
220,1774018520.1357934
220,1774018520.2824721
219,1774018520.4295425
222,1774018520.576364
221,1774018520.7230756
221,1774018520.8697758
225,1774018521.0164895
220,1774018521.1631947
219,1774018521.3099065
221,1774018521.456712
221,1774018521.6035833
222,1774018521.7502787
219,1774018521.896918
222,1774018522.0436242
220,1774018522.1903436
219,1774018522.3370016
221,1774018522.4838223
220,1774018522.630699
217,1774018522.7774587
220,1774018522.9241426
219,1774018523.0708644
224,1774018523.2176113
221,1774018523.3642576
220,1774018523.5110862
220,1774018523.6578896
220,1774018523.804586
221,1774018523.9512997
218,1774018524.0980406
219,1774018524.2447762
221,1774018524.3914752
223,1774018524.5383055
220,1774018524.6852608
220,1774018524.831952
223,1774018524.9786968
220,1774018525.125508
221,1774018525.272245
220,1774018525.419105
221,1774018525.566029
219,1774018525.7129254
217,1774018525.8596852
219,1774018526.0063214
220,1774018526.1530697
222,1774018526.2997704
218,1774018526.4466565
222,1774018526.5935543
219,1774018526.7402828
220,1774018526.8869562
219,1774018527.0336502
220,1774018527.1804056
220,1774018527.3271155
221,1774018527.4739938
222,1774018527.620921
220,1774018527.7676768
221,1774018527.9143593
220,1774018528.0610569
217,1774018528.2077522
220,1774018528.3544657
224,1774018528.5015042
222,1774018528.6483457
220,1774018528.7950547
221,1774018528.94173
221,1774018529.088423
218,1774018529.2351155
217,1774018529.3818045
222,1774018529.5286748
221,1774018529.675498
217,1774018529.8221889
222,1774018529.9688878
221,1774018530.115564
216,1774018530.2622995
218,1774018530.409673
221,1774018530.5566123
218,1774018530.7034352
219,1774018530.8501575
224,1774018530.9968474
221,1774018531.143505
217,1774018531.2902694
221,1774018531.437081
221,1774018531.5723977
219,1774018531.7191858
218,1774018531.8658578
222,1774018532.0125484
223,1774018532.1592917
220,1774018532.3059282
223,1774018532.452733
220,1774018532.5995858
217,1774018532.746326
220,1774018532.8929834
217,1774018533.0396764
221,1774018533.1863725
224,1774018533.3330703
218,1774018533.4798808
222,1774018533.6267715
220,1774018533.7734978
223,1774018533.9201646
221,1774018534.066872
218,1774018534.2136164
221,1774018534.3602705
223,1774018534.5071154
223,1774018534.653933
219,1774018534.8006473
221,1774018534.9473355
216,1774018535.0940518
217,1774018535.2407846
220,1774018535.3874943
219,1774018535.534381
218,1774018535.6812346
218,1774018535.8279808
219,1774018535.9746244
219,1774018536.1214688
220,1774018536.268188
222,1774018536.4150057
221,1774018536.5618849
220,1774018536.7086177
218,1774018536.8553486
220,1774018537.002046
221,1774018537.148752
221,1774018537.2954729
221,1774018537.4423733
224,1774018537.5895221
220,1774018537.736606
222,1774018537.8833559
222,1774018538.03008
220,1774018538.1768286
220,1774018538.323708
220,1774018538.470583
220,1774018538.617503
221,1774018538.7642686
221,1774018538.9109938
221,1774018539.0577145
222,1774018539.2044992
221,1774018539.3512075
219,1774018539.4981701
221,1774018539.6451254
218,1774018539.7918062
219,1774018539.9385006
221,1774018540.0852885
221,1774018540.2320435
221,1774018540.3789175
221,1774018540.5258307
222,1774018540.672675
221,1774018540.8194108
219,1774018540.966066
222,1774018541.1127963
217,1774018541.2594779
220,1774018541.4062943
218,1774018541.5532753
224,1774018541.7000139
222,1774018541.8467677
221,1774018541.9934666
219,1774018542.1401362
220,1774018542.2868953
222,1774018542.4339085
218,1774018542.5808017
220,1774018542.7275364
222,1774018542.8742535
221,1774018543.0211031
216,1774018543.1678758
218,1774018543.3146005
219,1774018543.4615915
223,1774018543.6085844
216,1774018543.75545
218,1774018543.9022334
222,1774018544.0490277
219,1774018544.1958127
220,1774018544.3425658
223,1774018544.489559
220,1774018544.6364682
221,1774018544.7832012
224,1774018544.9299603
219,1774018545.0767183
219,1774018545.223485
217,1774018545.3702652
222,1774018545.517208
219,1774018545.6641636
221,1774018545.8109431
221,1774018545.9577122
220,1774018546.1044667
222,1774018546.2512207
222,1774018546.397961
222,1774018546.5448446
219,1774018546.6917548
219,1774018546.8385172
219,1774018546.9853067
220,1774018547.1320283
222,1774018547.2790911
219,1774018547.4262938
221,1774018547.5736377
224,1774018547.7207472
220,1774018547.867424
220,1774018548.0144753
219,1774018548.1615212
221,1774018548.3084953
220,1774018548.4556897
219,1774018548.6028907
219,1774018548.7499464
218,1774018548.8965747
220,1774018549.043744
220,1774018549.19106
220,1774018549.3381007
220,1774018549.4855068
218,1774018549.6327724
223,1774018549.779938
220,1774018549.9265697
219,1774018550.0737386
220,1774018550.2207997
222,1774018550.3679106
219,1774018550.515079
221,1774018550.6623664
221,1774018550.809706
221,1774018550.956325
220,1774018551.1036208
219,1774018551.250961
221,1774018551.3982642
220,1774018551.5451686
219,1774018551.691984
218,1774018551.8387692
221,1774018551.985472
217,1774018552.1321666
218,1774018552.2789123
219,1774018552.4258294
219,1774018552.5727298
221,1774018552.7194679
219,1774018552.8661466
220,1774018553.0128515
220,1774018553.1595519
222,1774018553.3062696
218,1774018553.4531262
222,1774018553.6000206
221,1774018553.746846
220,1774018553.8936818
221,1774018554.0405335
220,1774018554.1873102
220,1774018554.3341873
220,1774018554.4812245
218,1774018554.628153
224,1774018554.774976
220,1774018554.921738
221,1774018555.0684595
219,1774018555.2151842
219,1774018555.3618808
220,1774018555.5091133
221,1774018555.6560125
223,1774018555.8028018
223,1774018555.9495394
220,1774018556.096297
222,1774018556.2430134
222,1774018556.3897054
220,1774018556.5365
