X_mm,Y_mm,Timestamp
1501,3698,1771515290.3774536
1473,3699,1771515291.3559432
1466,3702,1771515292.3563757
1474,3704,1771515293.3579786
1469,3723,1771515294.3496795
1469,3702,1771515295.3404422
1474,3704,1771515296.3356893
1491,3704,1771515297.3245552
1483,3706,1771515298.3248029
1473,3707,1771515299.3229637
1492,3719,1771515300.3150423
1482,3717,1771515301.3084385
1482,3713,1771515302.2980566
1469,3716,1771515303.3052032
1469,3702,1771515304.2932284
1492,3710,1771515305.2955709
1480,3711,1771515306.2892017
1492,1274,1771515311.2477603
