X_mm,Y_mm,Timestamp
1491,3704,1771515518.1942217
1490,3703,1771515519.1928904
1482,3711,1771515520.1953163
1483,3703,1771515521.1835382
1495,3712,1771515522.1850882
153,3694,1771515523.1679132
2515,3699,1771515524.1687186
2493,3711,1771515525.1653721
175,3702,1771515526.1533577
243,3701,1771515527.1531868
266,3705,1771515528.147595
292,3714,1771515529.1366215
240,3698,1771515530.131416
211,3708,1771515531.1218736
197,3715,1771515532.1236458
155,3697,1771515533.1209996
92,3699,1771515534.1062808
211,3711,1771515535.1055164
297,3703,1771515536.1068616
1606,3716,1771515537.1059184
300,3704,1771515538.0860953
175,3703,1771515539.08983
240,66,1771515540.0587237
233,61,1771515541.0589783
246,79,1771515542.0485616
241,241,1771515543.0473576
249,227,1771515544.043001
272,244,1771515545.0275023
311,127,1771515550.0117385
327,102,1771515551.0083277
329,172,1771515551.997031
382,288,1771515552.9964871
374,255,1771515553.986931
372,239,1771515554.9916127
1482,1956,1771515555.9963021
1496,3719,1771515557.0013323
1491,3717,1771515558.001031
1487,3700,1771515558.9965746
1471,3699,1771515559.9803987
1478,3709,1771515560.9929929
1495,93,1771515561.9494228
1474,118,1771515565.933632
1504,3697,1771515566.9429748
1479,3699,1771515567.9498882
1479,3705,1771515568.9492939
1482,3703,1771515569.933762
1477,3707,1771515570.9394946
1477,3699,1771515571.9341586
