X_mm,Y_mm,Timestamp
268,683,1771845063.5783107
266,683,1771845063.7027073
265,683,1771845063.7027073
266,679,1771845063.731771
266,679,1771845063.8020942
264,680,1771845063.8020942
264,678,1771845063.850781
263,678,1771845063.8993497
264,678,1771845063.9496593
263,679,1771845064.02338
264,683,1771845064.076127
264,678,1771845064.148672
263,683,1771845064.2024655
265,679,1771845064.208328
263,680,1771845064.2655454
264,679,1771845064.3197322
264,679,1771845064.3841417
264,679,1771845064.3964005
266,679,1771845064.441492
263,679,1771845064.5083816
264,679,1771845064.558256
264,678,1771845064.6081092
265,683,1771845064.6673496
265,679,1771845064.7121084
264,679,1771845064.764846
264,679,1771845064.81738
264,679,1771845064.8810134
264,683,1771845064.9531593
265,662,1771845064.9983134
264,680,1771845064.9983134
264,679,1771845065.0482607
263,680,1771845065.1110177
264,683,1771845065.165898
265,683,1771845065.2182972
263,679,1771845065.2705548
264,679,1771845065.33355
265,683,1771845065.386272
264,679,1771845065.448754
265,679,1771845065.448754
263,680,1771845065.5008152
265,683,1771845065.5501275
263,679,1771845065.6020517
264,679,1771845065.6466568
265,683,1771845065.6966684
263,679,1771845065.7494996
264,683,1771845065.834126
266,678,1771845065.8974926
265,679,1771845065.8997922
264,683,1771845065.9498887
263,683,1771845066.0026188
263,683,1771845066.0679708
264,683,1771845066.109715
264,679,1771845066.1621985
264,683,1771845066.2148798
263,679,1771845066.2864418
264,679,1771845066.3413851
263,678,1771845066.3936698
266,257,1771845066.4450314
264,678,1771845066.50832
264,679,1771845066.50832
265,683,1771845066.5684242
264,680,1771845066.634224
263,679,1771845066.690494
264,683,1771845066.742757
264,678,1771845066.742757
263,680,1771845066.805276
195,683,1771845066.8771524
264,683,1771845066.9512973
264,675,1771845067.0039263
265,678,1771845067.0039263
263,683,1771845067.067691
264,683,1771845067.1629825
264,679,1771845067.1629825
264,680,1771845067.2264178
264,683,1771845067.2874413
264,679,1771845067.3420815
264,595,1771845067.4055138
264,684,1771845067.4055138
263,683,1771845067.4688404
264,679,1771845067.5320518
265,683,1771845067.603755
265,683,1771845067.6669884
263,679,1771845067.6669884
263,683,1771845067.7220485
264,679,1771845067.7935445
264,679,1771845067.8486578
264,679,1771845067.8486578
264,683,1771845067.912136
266,683,1771845067.9842284
266,679,1771845068.0474043
265,528,1771845068.1025617
264,680,1771845068.1107943
263,679,1771845068.1765358
264,683,1771845068.197643
266,679,1771845068.25035
264,683,1771845068.3351822
264,679,1771845068.3984609
264,679,1771845068.3984609
263,679,1771845068.4617953
269,679,1771845068.5353158
265,679,1771845068.6070056
263,683,1771845068.6070056
265,682,1771845068.6598756
266,677,1771845068.7150145
270,674,1771845068.7866538
268,674,1771845068.844041
269,286,1771845068.8968072
269,672,1771845068.9383748
269,367,1771845068.9971123
263,664,1771845068.9971123
261,661,1771845069.044009
261,662,1771845069.1209981
261,660,1771845069.184307
266,658,1771845069.2475424
264,651,1771845069.2557476
264,650,1771845069.3106227
265,651,1771845069.362948
204,646,1771845069.4258332
265,643,1771845069.5078492
264,641,1771845069.5518062
265,643,1771845069.5518062
264,641,1771845069.6229708
268,634,1771845069.678105
266,632,1771845069.7413955
264,618,1771845069.8408139
273,631,1771845069.8408139
273,625,1771845069.8934298
289,622,1771845069.8958664
