Distance_cm,Timestamp
133,1774003315.105743
133,1774003315.234687
133,1774003315.363669
133,1774003315.4926848
133,1774003315.6216033
121,1774003315.7505002
119,1774003315.8794188
115,1774003316.008372
116,1774003316.1372695
116,1774003316.2662454
115,1774003316.3954253
115,1774003316.5243976
115,1774003316.6533058
117,1774003316.78219
118,1774003316.9110682
118,1774003317.0400598
118,1774003317.1690886
118,1774003317.2981167
118,1774003317.4271917
118,1774003317.5562022
118,1774003317.6851308
118,1774003317.8140278
118,1774003317.9429407
118,1774003318.071831
118,1774003318.2007043
118,1774003318.3297327
118,1774003318.4588435
118,1774003318.5878608
118,1774003318.7167988
118,1774003318.845692
118,1774003318.97459
118,1774003319.1034796
118,1774003319.23236
118,1774003319.3613667
118,1774003319.4904165
118,1774003319.6193736
118,1774003319.748266
118,1774003319.8771687
118,1774003320.0060766
118,1774003320.1349478
117,1774003320.2638888
118,1774003320.3930025
118,1774003320.521973
118,1774003320.6508687
118,1774003320.7798088
118,1774003320.9087093
118,1774003321.037607
118,1774003321.166473
118,1774003321.2955003
118,1774003321.4245949
118,1774003321.553527
119,1774003321.6824222
127,1774003321.8113637
131,1774003321.9402869
131,1774003322.0691872
130,1774003322.1980622
130,1774003322.3270426
131,1774003322.4561534
131,1774003322.5850759
130,1774003322.7139714
131,1774003322.8428495
131,1774003322.9717793
131,1774003323.1006844
131,1774003323.2295496
131,1774003323.358517
131,1774003323.4875343
131,1774003323.616447
131,1774003323.745335
131,1774003323.8742375
131,1774003324.0031362
131,1774003324.1320403
131,1774003324.2609677
130,1774003324.3901556
130,1774003324.519204
130,1774003324.6481757
131,1774003324.7770486
130,1774003324.9059682
130,1774003325.0348523
130,1774003325.1637979
130,1774003325.2928042
130,1774003325.4218755
130,1774003325.5508716
131,1774003325.6798794
130,1774003325.8088112
131,1774003325.9377367
131,1774003326.0666256
131,1774003326.1955194
131,1774003326.3245206
132,1774003326.4535677
131,1774003326.5824857
132,1774003326.7113876
131,1774003326.8403037
132,1774003326.9692276
132,1774003327.0982287
131,1774003327.2272463
132,1774003327.3563132
132,1774003327.4853816
64,1774003327.614299
234,1774003327.7431796
35,1774003327.872139
20,1774003328.001138
31,1774003328.1300414
33,1774003328.2590077
25,1774003328.3881402
21,1774003328.5170724
100,1774003328.6459756
754,1774003328.7748485
1116,1774003328.9037728
19,1774003329.0326793
23,1774003329.1615574
49,1774003329.290583
18,1774003329.4196408
79,1774003329.5485811
105,1774003329.6774657
12,1774003329.80634
8,1774003329.9352477
7,1774003330.0641885
351,1774003330.1930537
126,1774003330.3220642
7,1774003330.4480875
17,1774003330.5770786
15,1774003330.705987
16,1774003330.8348718
15,1774003330.963808
14,1774003331.0927124
13,1774003331.2215798
15,1774003331.3505657
15,1774003331.4795876
11,1774003331.6084902
13,1774003331.7373865
14,1774003331.8662677
14,1774003331.9951663
14,1774003332.1241186
13,1774003332.2530391
7,1774003332.382167
48,1774003332.511173
156,1774003332.6401043
125,1774003332.7689877
25,1774003332.8978584
27,1774003333.026768
27,1774003333.1556787
27,1774003333.2846632
27,1774003333.4137282
27,1774003333.5426636
27,1774003333.6715472
27,1774003333.8004143
27,1774003333.929306
27,1774003334.0582163
27,1774003334.187088
27,1774003334.3160887
27,1774003334.445166
27,1774003334.5740798
27,1774003334.7029507
27,1774003334.8318338
27,1774003334.9607203
27,1774003335.0896132
27,1774003335.2184865
27,1774003335.3474395
27,1774003335.476445
27,1774003335.6053412
27,1774003335.7342107
27,1774003335.8630798
27,1774003335.9920335
27,1774003336.1209445
27,1774003336.2498226
27,1774003336.3787982
27,1774003336.5078323
27,1774003336.6367383
27,1774003336.7656198
27,1774003336.894481
27,1774003337.0234127
27,1774003337.1523488
27,1774003337.2813718
27,1774003337.410483
27,1774003337.539442
27,1774003337.6683698
27,1774003337.7972763
27,1774003337.9262078
27,1774003338.0551224
27,1774003338.184052
27,1774003338.3130465
27,1774003338.4401567
27,1774003338.5691028
27,1774003338.6979802
27,1774003338.8268554
27,1774003338.955786
27,1774003339.084696
27,1774003339.2136106
27,1774003339.3426106
27,1774003339.4716501
27,1774003339.6005616
27,1774003339.7294605
27,1774003339.8583453
27,1774003339.987235
27,1774003340.1161819
27,1774003340.2450676
27,1774003340.374077
27,1774003340.5031352
27,1774003340.6320937
27,1774003340.7609582
27,1774003340.8898368
27,1774003341.0187476
27,1774003341.1476157
27,1774003341.2765675
