X_mm,Y_mm,Timestamp
1482,3699,1771515627.302557
1505,3704,1771515628.301295
1475,3695,1771515629.2937462
1508,3700,1771515630.2784343
1478,3704,1771515631.2776308
1492,3710,1771515632.2778347
1504,3700,1771515633.2620625
1495,3708,1771515634.2647393
1482,3704,1771515635.2610145
1495,3705,1771515636.2527332
1482,3697,1771515637.245824
1488,3704,1771515638.2310824
1484,3703,1771515639.2306378
1495,3705,1771515640.2328544
1476,3708,1771515641.2144392
1486,3705,1771515642.214806
1488,3701,1771515643.2149522
1476,3704,1771515644.1997123
1488,3708,1771515645.2069218
1480,3705,1771515646.208134
1487,3701,1771515647.1947145
1487,3698,1771515648.1839213
1475,3706,1771515649.1839683
1491,3703,1771515650.1682615
1479,3698,1771515651.167447
1482,3694,1771515652.1685283
1477,3706,1771515653.1577146
1474,3711,1771515654.1561408
1479,3706,1771515655.151208
1482,3709,1771515656.1368732
1479,3700,1771515657.1375682
1482,3698,1771515658.1370435
1482,3703,1771515659.1216018
