Distance_cm,Timestamp
313,1774015235.2810013
317,1774015235.4284008
313,1774015235.5754802
312,1774015235.7222748
313,1774015235.869583
311,1774015236.0168326
314,1774015236.1646814
313,1774015236.312063
313,1774015236.4594448
315,1774015236.606282
309,1774015236.7533665
313,1774015236.9004855
316,1774015237.0477335
310,1774015237.19503
311,1774015237.3421488
316,1774015237.489176
312,1774015237.6361961
316,1774015237.7832763
314,1774015237.9303632
314,1774015238.0729556
313,1774015238.2148232
313,1774015238.3619783
310,1774015238.5090125
312,1774015238.656075
312,1774015238.8031216
310,1774015238.950471
315,1774015239.0982246
313,1774015239.2453818
317,1774015239.392559
311,1774015239.5396826
314,1774015239.68693
316,1774015239.8343358
312,1774015239.9813557
317,1774015240.1282995
315,1774015240.2757506
316,1774015240.422536
313,1774015240.569677
315,1774015240.7167637
310,1774015240.8641286
313,1774015241.0115418
315,1774015241.158994
311,1774015241.306142
314,1774015241.453362
314,1774015241.6004868
312,1774015241.7476976
312,1774015241.8948505
315,1774015242.042186
310,1774015242.1890202
315,1774015242.3362591
311,1774015242.4833336
307,1774015242.6305203
316,1774015242.7776551
311,1774015242.9248574
314,1774015243.0726047
314,1774015243.2202408
314,1774015243.3676982
311,1774015243.5151277
316,1774015243.6626267
313,1774015243.810144
311,1774015243.9576821
311,1774015244.094078
310,1774015244.2408056
316,1774015244.3880084
317,1774015244.535106
314,1774015244.6823142
315,1774015244.8291209
310,1774015244.976053
313,1774015245.1234052
313,1774015245.270725
316,1774015245.4178252
312,1774015245.5645268
312,1774015245.7113297
310,1774015245.8584878
314,1774015246.0053725
317,1774015246.1526282
314,1774015246.299829
316,1774015246.4469779
317,1774015246.5941234
312,1774015246.7411804
315,1774015246.8883462
317,1774015247.0356188
314,1774015247.1833234
314,1774015247.3305233
313,1774015247.477695
309,1774015247.6247969
315,1774015247.7719915
310,1774015247.919082
313,1774015248.0660036
316,1774015248.212905
314,1774015248.3600233
309,1774015248.5072165
310,1774015248.654371
308,1774015248.8014212
312,1774015248.9486659
307,1774015249.0955799
306,1774015249.242765
308,1774015249.3899367
305,1774015249.5370271
308,1774015249.6841934
305,1774015249.83149
309,1774015249.979011
307,1774015250.1260931
306,1774015250.273048
304,1774015250.419869
303,1774015250.5666964
306,1774015250.7137563
299,1774015250.8609364
302,1774015251.008243
296,1774015251.1554685
298,1774015251.3023114
297,1774015251.4491394
299,1774015251.5959582
290,1774015251.7427442
290,1774015251.8897526
294,1774015252.037067
291,1774015252.1842897
287,1774015252.3313637
287,1774015252.4781647
286,1774015252.6249254
284,1774015252.77169
283,1774015252.9185026
277,1774015253.0653822
279,1774015253.2123227
273,1774015253.35922
276,1774015253.506118
271,1774015253.652946
274,1774015253.7997591
272,1774015253.946822
273,1774015254.0937738
270,1774015254.2406054
271,1774015254.3874938
270,1774015254.5345464
266,1774015254.681324
267,1774015254.8281114
261,1774015254.9750643
263,1774015255.122111
264,1774015255.2689748
266,1774015255.4157686
263,1774015255.5626438
266,1774015255.7094026
264,1774015255.856148
258,1774015256.0031438
256,1774015256.1501133
260,1774015256.2969306
258,1774015256.4436648
255,1774015256.5904438
255,1774015256.7371888
253,1774015256.8839896
251,1774015257.030924
256,1774015257.177831
253,1774015257.3246129
249,1774015257.4714673
251,1774015257.6183903
247,1774015257.765141
244,1774015257.9119751
246,1774015258.0589204
244,1774015258.2058163
245,1774015258.3525808
241,1774015258.499367
244,1774015258.6462257
240,1774015258.7929757
241,1774015258.9398725
242,1774015259.0868955
247,1774015259.233697
243,1774015259.380484
243,1774015259.5272748
238,1774015259.674059
241,1774015259.820803
241,1774015259.9676714
238,1774015260.114683
241,1774015260.2615047
237,1774015260.4082825
235,1774015260.5549765
239,1774015260.7017457
238,1774015260.8485062
238,1774015260.9954648
239,1774015261.142666
237,1774015261.289464
239,1774015261.4362206
241,1774015261.5830135
240,1774015261.7297719
239,1774015261.8765593
240,1774015262.0236127
245,1774015262.1706533
240,1774015262.317495
244,1774015262.4642537
242,1774015262.610979
241,1774015262.7577264
242,1774015262.9045136
243,1774015263.0514693
242,1774015263.1986463
235,1774015263.345515
240,1774015263.4923286
237,1774015263.6390848
238,1774015263.7858455
236,1774015263.9326513
238,1774015264.0796936
242,1774015264.2266657
240,1774015264.373446
238,1774015264.5201724
236,1774015264.6670215
233,1774015264.8138022
234,1774015264.9607158
233,1774015265.107621
236,1774015265.2546625
236,1774015265.4014661
232,1774015265.5485451
229,1774015265.6955445
232,1774015265.842523
233,1774015265.9895208
226,1774015266.136432
232,1774015266.283359
238,1774015266.4302263
230,1774015266.5769694
234,1774015266.7237284
232,1774015266.8706408
229,1774015267.0176105
232,1774015267.1645641
229,1774015267.3113723
236,1774015267.4581478
231,1774015267.6049128
228,1774015267.7516704
229,1774015267.8984704
227,1774015268.0429516
229,1774015268.1827154
233,1774015268.3295352
233,1774015268.4762928
233,1774015268.6230361
236,1774015268.7697718
238,1774015268.9165206
233,1774015269.063495
232,1774015269.210482
232,1774015269.3572893
233,1774015269.5040922
234,1774015269.6508968
234,1774015269.7976615
234,1774015269.9445739
235,1774015270.0915604
236,1774015270.238446
239,1774015270.3852
240,1774015270.5319936
236,1774015270.6787531
232,1774015270.8255162
240,1774015270.9723997
242,1774015271.11944
238,1774015271.266319
239,1774015271.413098
242,1774015271.5599444
239,1774015271.7066758
238,1774015271.8534446
241,1774015272.000353
240,1774015272.1473389
241,1774015272.2941327
