Distance_cm,Timestamp
30,1774010541.6346424
30,1774010541.7637222
30,1774010541.8926651
30,1774010542.0215836
30,1774010542.1505046
30,1774010542.2794397
30,1774010542.408381
30,1774010542.537298
30,1774010542.6663334
30,1774010542.7953827
30,1774010542.9243646
30,1774010543.053274
30,1774010543.1821594
30,1774010543.3110921
30,1774010543.4399924
30,1774010543.5689065
30,1774010543.697974
31,1774010543.8270755
30,1774010543.9560275
30,1774010544.0850291
31,1774010544.2139502
30,1774010544.3428729
30,1774010544.4717774
27,1774010544.6008518
22,1774010544.7298975
22,1774010544.858903
22,1774010544.9878125
22,1774010545.116778
22,1774010545.2456872
22,1774010545.3746276
22,1774010545.5035217
22,1774010545.6325774
22,1774010545.7616844
23,1774010545.8906615
23,1774010546.0195808
22,1774010546.14855
21,1774010546.2774727
22,1774010546.406388
22,1774010546.5352845
22,1774010546.6643176
22,1774010546.7934804
22,1774010546.9224439
22,1774010547.051341
22,1774010547.1802502
22,1774010547.3092363
21,1774010547.438156
22,1774010547.5670807
23,1774010547.6961427
23,1774010547.8252351
22,1774010547.9541986
21,1774010548.083148
21,1774010548.2120705
22,1774010548.3410444
21,1774010548.4699528
21,1774010548.5990045
21,1774010548.728149
22,1774010548.8571613
22,1774010548.986092
22,1774010549.1150038
22,1774010549.2439227
21,1774010549.3728738
21,1774010549.5017738
21,1774010549.630757
22,1774010549.7567782
21,1774010549.8857985
21,1774010550.0147154
22,1774010550.143647
23,1774010550.2726023
22,1774010550.4015787
22,1774010550.530537
21,1774010550.6595728
21,1774010550.788645
22,1774010550.917577
22,1774010551.0465455
21,1774010551.1754708
22,1774010551.3044324
23,1774010551.4333634
23,1774010551.5622966
22,1774010551.6912844
21,1774010551.8204002
21,1774010551.9493766
22,1774010552.0785573
21,1774010552.2074847
22,1774010552.3364623
21,1774010552.4654152
21,1774010552.594435
21,1774010552.7235923
24,1774010552.8525724
28,1774010552.981525
28,1774010553.1104968
29,1774010553.2394338
30,1774010553.3684268
31,1774010553.497365
30,1774010553.6263602
31,1774010553.755459
30,1774010553.884442
30,1774010554.013388
30,1774010554.1422892
30,1774010554.2711735
30,1774010554.400092
30,1774010554.5290189
30,1774010554.658016
30,1774010554.787056
30,1774010554.9159927
30,1774010555.0449326
30,1774010555.1738403
30,1774010555.302734
30,1774010555.431626
30,1774010555.5605133
30,1774010555.6868439
30,1774010555.8158658
30,1774010555.9448538
30,1774010556.0737631
30,1774010556.2026649
30,1774010556.3315787
30,1774010556.4604964
30,1774010556.5894837
30,1774010556.7186146
30,1774010556.8476045
30,1774010556.9765942
30,1774010557.1055367
30,1774010557.2344952
30,1774010557.3633835
30,1774010557.4923096
30,1774010557.6213872
30,1774010557.7504554
30,1774010557.8794165
30,1774010558.0084383
30,1774010558.1373692
30,1774010558.2662838
30,1774010558.3951836
30,1774010558.5241072
30,1774010558.6531634
30,1774010558.7822156
30,1774010558.91115
30,1774010559.0400798
30,1774010559.1690738
30,1774010559.2980726
30,1774010559.4270046
30,1774010559.55594
30,1774010559.6849458
30,1774010559.8139956
30,1774010559.942926
31,1774010560.0718904
30,1774010560.2009063
