X_mm,Y_mm,Timestamp
1482,3712,1771515689.9758964
1495,3708,1771515690.9760501
1486,3712,1771515691.9647934
1486,3717,1771515692.9650474
1492,3699,1771515693.9575958
1517,3707,1771515694.9541001
1487,3697,1771515695.9487116
1504,3704,1771515696.9458923
1495,3712,1771515697.940278
1499,3709,1771515698.9232895
1492,3703,1771515699.933001
1482,3694,1771515700.9177792
1482,3696,1771515701.902255
1478,3694,1771515702.9028652
1482,3708,1771515703.9026926
1483,3708,1771515704.903825
1478,3720,1771515705.8872411
1496,3703,1771515706.8876545
1487,3703,1771515707.8868208
1475,3707,1771515708.8865802
1474,3699,1771515709.8703961
1480,3709,1771515710.8684278
1482,3698,1771515711.8613217
1482,3705,1771515712.8603013
188,3704,1771515713.8412235
1512,204,1771515714.8245988
263,254,1771515715.8292034
1492,3706,1771515716.8401453
1495,257,1771515717.8083682
1494,170,1771515718.8087885
1479,3703,1771515720.808042
1482,3704,1771515721.8087082
1493,3698,1771515723.7934196
1470,3710,1771515724.800378
765,3699,1771515725.7929316
1481,3712,1771515726.7836509
1502,994,1771515727.7669797
1497,3706,1771515729.7623646
1486,3701,1771515730.7622757
1477,3706,1771515731.768541
280,230,1771515733.7309356
1490,329,1771515734.7313547
332,275,1771515735.7188103
472,363,1771515736.7164955
494,414,1771515737.6997368
345,302,1771515738.6990125
285,303,1771515739.6841805
274,381,1771515740.6944273
307,440,1771515741.6886854
285,753,1771515742.6938136
383,268,1771515743.6681576
382,276,1771515744.6743681
402,273,1771515745.66891
452,476,1771515746.6642132
403,361,1771515748.6522973
377,895,1771515749.6520538
549,413,1771515750.6369338
1463,3709,1771515758.620745
1462,3700,1771515759.616845
1472,3702,1771515760.605515
1475,3703,1771515761.6005177
1478,3698,1771515762.605129
1479,3703,1771515763.590555
1462,3703,1771515764.594361
1485,3700,1771515765.589959
