X_mm,Y_mm,Timestamp
165,724,1771842859.562538
165,728,1771842859.6982894
165,728,1771842859.6982894
169,724,1771842859.721287
165,724,1771842859.7814605
165,728,1771842859.896547
165,728,1771842859.896547
165,728,1771842859.9592156
165,727,1771842859.967352
165,724,1771842860.0421877
165,728,1771842860.114854
165,732,1771842860.114854
165,724,1771842860.2643476
165,728,1771842860.2643476
165,728,1771842860.2643476
165,732,1771842860.3217647
165,728,1771842860.383948
165,728,1771842860.4545553
165,357,1771842860.5191953
165,732,1771842860.5191953
169,728,1771842860.65208
169,724,1771842860.65208
165,431,1771842860.6956582
165,732,1771842860.7577655
169,728,1771842860.7577655
165,724,1771842860.8304894
166,722,1771842860.8931787
165,730,1771842861.0265536
169,728,1771842861.0265536
165,724,1771842861.0265536
167,726,1771842861.0706537
165,724,1771842861.13319
169,732,1771842861.2267947
169,724,1771842861.2267947
169,732,1771842861.27952
165,728,1771842861.4127593
169,724,1771842861.4127593
169,728,1771842861.4127593
165,728,1771842861.4754114
167,727,1771842861.5194445
157,724,1771842861.6009917
165,728,1771842861.6452305
165,728,1771842861.7916555
165,728,1771842861.7996764
165,724,1771842861.7997727
169,724,1771842861.85409
169,724,1771842861.85409
169,724,1771842861.9165757
165,728,1771842861.9792826
165,728,1771842862.049998
165,728,1771842862.176805
165,724,1771842862.176805
165,728,1771842862.176805
167,726,1771842862.2286983
169,728,1771842862.2911987
165,728,1771842862.3536444
165,732,1771842862.3536444
165,724,1771842862.426292
165,724,1771842862.5801613
165,732,1771842862.5801613
165,728,1771842862.5801613
165,728,1771842862.6238058
165,728,1771842862.6862788
165,724,1771842862.749353
169,728,1771842862.8120012
169,724,1771842862.8120012
165,732,1771842862.9364595
169,728,1771842862.9364595
165,724,1771842862.998733
165,724,1771842863.0795162
169,728,1771842863.0795162
165,728,1771842863.1313205
165,724,1771842863.1932557
165,724,1771842863.2991724
169,728,1771842863.2991724
169,723,1771842863.3510413
169,728,1771842863.4215612
169,728,1771842863.4236994
165,724,1771842863.4860675
165,728,1771842863.5378463
165,728,1771842863.6735775
169,724,1771842863.6735775
169,728,1771842863.6735775
169,728,1771842863.7675846
165,728,1771842863.8301291
165,724,1771842863.8301291
165,732,1771842863.8925443
165,728,1771842863.9552128
165,724,1771842864.0594573
169,728,1771842864.0594573
167,727,1771842864.1216805
169,731,1771842864.1298587
165,724,1771842864.1837413
165,724,1771842864.2459126
165,724,1771842864.308258
165,392,1771842864.4537473
165,724,1771842864.4537473
169,728,1771842864.4537473
169,730,1771842864.5055227
169,724,1771842864.5574088
165,663,1771842864.6196804
165,728,1771842864.6196804
165,724,1771842864.6815028
165,728,1771842864.8265297
165,724,1771842864.8265297
169,728,1771842864.8265297
165,728,1771842864.889055
165,724,1771842864.951489
169,728,1771842865.0223832
165,732,1771842865.0223832
165,728,1771842865.076693
165,728,1771842865.2214496
169,728,1771842865.2214496
165,724,1771842865.2214496
169,728,1771842865.2845545
169,732,1771842865.3550332
169,732,1771842865.4174771
165,369,1771842865.4715652
165,728,1771842865.4715652
169,724,1771842865.596143
169,732,1771842865.596143
169,724,1771842865.6586967
169,724,1771842865.720849
165,728,1771842865.720849
169,727,1771842865.7990837
169,728,1771842865.844604
169,724,1771842865.9586835
169,724,1771842865.9586835
169,728,1771842866.010446
165,724,1771842866.0726845
165,728,1771842866.0726845
169,724,1771842866.1762328
169,724,1771842866.2176766
169,612,1771842866.3523815
169,724,1771842866.3523815
165,724,1771842866.3523815
165,728,1771842866.4043384
165,728,1771842866.4666314
165,550,1771842866.5393047
169,724,1771842866.5393047
165,728,1771842866.5913913
169,724,1771842866.7261078
165,726,1771842866.7261078
169,728,1771842866.7261078
165,728,1771842866.7778862
165,732,1771842866.8401694
165,728,1771842866.9023135
170,726,1771842866.9646168
169,409,1771842867.1115994
169,722,1771842867.1115994
169,724,1771842867.1115994
169,724,1771842867.182199
169,728,1771842867.182199
169,727,1771842867.236288
165,724,1771842867.31752
165,724,1771842867.5008373
165,732,1771842867.5629451
169,723,1771842867.5629451
169,660,1771842867.5629451
171,728,1771842867.5629451
165,728,1771842867.625286
165,728,1771842867.625286
165,728,1771842867.6808052
165,724,1771842867.7405696
169,727,1771842867.8554978
169,728,1771842867.8554978
169,723,1771842867.9098847
165,728,1771842867.9695277
169,728,1771842868.0247498
165,482,1771842868.073829
169,326,1771842868.1277332
169,724,1771842868.1277332
169,732,1771842868.2529345
169,724,1771842868.2529345
169,728,1771842868.2756677
165,592,1771842868.3229961
165,499,1771842868.3754957
169,724,1771842868.4303012
169,724,1771842868.4995193
169,728,1771842868.6252933
165,724,1771842868.6252933
169,530,1771842868.6976173
165,724,1771842868.6976173
165,724,1771842868.7602541
169,728,1771842868.8232372
169,731,1771842868.8232372
169,726,1771842868.8861005
169,724,1771842869.0112567
169,728,1771842869.0112567
169,728,1771842869.0740616
165,724,1771842869.0740616
165,724,1771842869.1473184
165,726,1771842869.199739
169,724,1771842869.2627382
165,728,1771842869.3864574
169,724,1771842869.3864574
169,728,1771842869.3864574
169,726,1771842869.4308004
165,726,1771842869.5043118
165,728,1771842869.5569193
165,728,1771842869.6281316
165,724,1771842869.756621
167,721,1771842869.756621
165,724,1771842869.756621
169,724,1771842869.8090246
169,728,1771842869.8723736
169,728,1771842869.8723736
169,724,1771842869.9354084
169,727,1771842869.9986136
169,728,1771842870.1436942
165,732,1771842870.1436942
169,724,1771842870.1436942
165,724,1771842870.187769
169,724,1771842870.242033
165,728,1771842870.2894554
