Distance_cm,Timestamp
24,1774003200.7877345
24,1774003200.9167173
24,1774003201.0456536
23,1774003201.1745596
24,1774003201.3035693
24,1774003201.4326262
24,1774003201.5615647
23,1774003201.6904843
23,1774003201.8194222
24,1774003201.9483943
23,1774003202.0773
24,1774003202.2062037
22,1774003202.335215
17,1774003202.4643013
17,1774003202.5932019
17,1774003202.7221074
19,1774003202.8510418
19,1774003202.9799943
19,1774003203.1088824
19,1774003203.2377658
17,1774003203.3667874
17,1774003203.4958367
17,1774003203.6247644
16,1774003203.7536974
16,1774003203.8826032
17,1774003204.0115225
17,1774003204.1404138
18,1774003204.2693624
18,1774003204.3953972
17,1774003204.5243852
17,1774003204.653311
18,1774003204.7822201
18,1774003204.9111319
19,1774003205.040095
20,1774003205.1689782
20,1774003205.2979827
20,1774003205.427071
19,1774003205.5560455
18,1774003205.684936
18,1774003205.8137822
18,1774003205.9427118
19,1774003206.0716975
18,1774003206.2006245
17,1774003206.3296757
18,1774003206.4587176
18,1774003206.5876398
18,1774003206.71654
17,1774003206.8454552
18,1774003206.974395
19,1774003207.1034245
18,1774003207.2324467
18,1774003207.3614402
18,1774003207.490445
17,1774003207.61937
17,1774003207.7482553
17,1774003207.8771486
17,1774003208.0060565
16,1774003208.1349735
16,1774003208.2639241
16,1774003208.393005
17,1774003208.5219274
16,1774003208.6509125
16,1774003208.7749543
15,1774003208.9038317
13,1774003209.0327654
13,1774003209.1616669
13,1774003209.2906888
13,1774003209.4198036
12,1774003209.5487387
12,1774003209.6776066
12,1774003209.806483
13,1774003209.9354134
13,1774003210.0643759
13,1774003210.1932926
13,1774003210.322331
13,1774003210.4515092
13,1774003210.580547
13,1774003210.7094688
13,1774003210.838379
13,1774003210.9672801
13,1774003211.0962126
13,1774003211.2250917
13,1774003211.3540843
13,1774003211.483139
13,1774003211.612085
13,1774003211.7409785
13,1774003211.8698869
13,1774003211.998801
13,1774003212.1276925
13,1774003212.256637
13,1774003212.3857148
13,1774003212.5146391
13,1774003212.6435604
13,1774003212.7724216
13,1774003212.9012768
13,1774003213.0301392
13,1774003213.1589632
13,1774003213.2879212
13,1774003213.416955
13,1774003213.545857
13,1774003213.6747067
13,1774003213.8035474
13,1774003213.9324028
13,1774003214.0612462
