Distance_cm,Timestamp
186,1774003124.7515779
185,1774003124.8805618
186,1774003125.0094988
186,1774003125.138412
186,1774003125.2674494
186,1774003125.39657
186,1774003125.525564
186,1774003125.6544778
186,1774003125.7834058
186,1774003125.9123485
185,1774003126.0412455
185,1774003126.1701443
186,1774003126.2991488
185,1774003126.4283009
186,1774003126.5572891
186,1774003126.6862175
185,1774003126.815141
186,1774003126.9441047
186,1774003127.0729933
186,1774003127.2018971
186,1774003127.330927
185,1774003127.460046
186,1774003127.5889714
185,1774003127.7178683
186,1774003127.8467796
185,1774003127.9757056
186,1774003128.104598
186,1774003128.2335095
186,1774003128.3625236
186,1774003128.4915307
186,1774003128.620427
185,1774003128.7493532
186,1774003128.878265
188,1774003129.0071592
14,1774003129.1360905
10,1774003129.2650843
10,1774003129.3941891
11,1774003129.5231316
15,1774003129.6520627
18,1774003129.7809741
13,1774003129.909913
15,1774003130.0388508
26,1774003130.167831
226,1774003130.2969186
16,1774003130.4260528
10,1774003130.5550432
10,1774003130.6839921
197,1774003130.8129
18,1774003130.941803
9,1774003131.0706856
13,1774003131.1995745
127,1774003131.3285685
89,1774003131.4575968
50,1774003131.5865026
93,1774003131.7154224
55,1774003131.8443875
53,1774003131.9733162
49,1774003132.102206
133,1774003132.2311065
72,1774003132.3574145
119,1774003132.486424
43,1774003132.6153917
159,1774003132.7443283
147,1774003132.87325
37,1774003133.0021632
41,1774003133.131047
99,1774003133.2606921
39,1774003133.3897867
40,1774003133.5187514
40,1774003133.6477172
40,1774003133.7766342
39,1774003133.9055278
38,1774003134.0344052
38,1774003134.1632998
38,1774003134.2924142
40,1774003134.4215083
39,1774003134.550465
39,1774003134.679415
38,1774003134.8083613
37,1774003134.9372687
37,1774003135.0661652
39,1774003135.1950383
39,1774003135.3240814
38,1774003135.453103
36,1774003135.5820389
39,1774003135.7109928
44,1774003135.839943
45,1774003135.968849
44,1774003136.0977302
45,1774003136.226616
44,1774003136.3556561
44,1774003136.4846773
36,1774003136.6135814
34,1774003136.7424996
34,1774003136.8714395
34,1774003137.000376
34,1774003137.1293287
34,1774003137.258388
35,1774003137.3874977
35,1774003137.5164964
35,1774003137.6454153
35,1774003137.774339
34,1774003137.9032407
34,1774003138.0321643
34,1774003138.161039
33,1774003138.2900634
33,1774003138.4191937
33,1774003138.5482216
34,1774003138.6771243
36,1774003138.8060448
39,1774003138.9349597
40,1774003139.0638666
41,1774003139.1927454
41,1774003139.3217232
41,1774003139.4507499
46,1774003139.5797794
44,1774003139.708747
50,1774003139.8376594
59,1774003139.966555
82,1774003140.0954366
42,1774003140.224315
35,1774003140.3532972
36,1774003140.4823155
34,1774003140.6112216
37,1774003140.7401757
36,1774003140.8690872
97,1774003140.99797
88,1774003141.1268506
39,1774003141.2558787
78,1774003141.3850002
30,1774003141.5139673
27,1774003141.6428723
25,1774003141.7718613
25,1774003141.900811
23,1774003142.0297425
23,1774003142.1586328
22,1774003142.2876225
21,1774003142.4167151
21,1774003142.5456715
21,1774003142.6745822
22,1774003142.8034902
23,1774003142.9323845
22,1774003143.061244
22,1774003143.1901093
23,1774003143.3191285
24,1774003143.4482102
35,1774003143.5771248
32,1774003143.7060301
30,1774003143.8349338
29,1774003143.963858
22,1774003144.0927632
19,1774003144.2216527
16,1774003144.3506672
16,1774003144.4797866
16,1774003144.6087332
16,1774003144.7376468
17,1774003144.8665752
17,1774003144.9954743
14,1774003145.1243463
17,1774003145.2532635
17,1774003145.3824446
17,1774003145.5114558
16,1774003145.6403785
16,1774003145.7693062
17,1774003145.8982787
17,1774003146.0271783
16,1774003146.1560943
15,1774003146.2851002
15,1774003146.4141722
15,1774003146.543104
16,1774003146.6721196
24,1774003146.8010774
24,1774003146.9300416
20,1774003147.0589666
19,1774003147.1878629
17,1774003147.316865
20,1774003147.4459062
24,1774003147.5748088
24,1774003147.7037592
39,1774003147.8326926
40,1774003147.9616065
