Distance_cm,Timestamp
217,1774019211.1862872
218,1774019211.3331
216,1774019211.4799845
217,1774019211.6269197
215,1774019211.7737424
221,1774019211.9204965
217,1774019212.067281
216,1774019212.2140486
218,1774019212.3608534
216,1774019212.5077193
214,1774019212.6545367
217,1774019212.8013017
217,1774019212.9479816
219,1774019213.094753
216,1774019213.2414887
217,1774019213.3881762
217,1774019213.5350084
219,1774019213.6818054
216,1774019213.8285232
217,1774019213.9751387
216,1774019214.121781
215,1774019214.268465
220,1774019214.4152727
218,1774019214.5622804
218,1774019214.7090714
218,1774019214.8557613
217,1774019215.0024998
219,1774019215.149218
215,1774019215.2959216
217,1774019215.4427657
218,1774019215.589707
219,1774019215.7365444
217,1774019215.8833
215,1774019216.0300255
216,1774019216.1767669
218,1774019216.3235073
215,1774019216.470357
218,1774019216.6172848
215,1774019216.7641158
218,1774019216.9108877
218,1774019217.0576003
220,1774019217.2042496
216,1774019217.3509598
218,1774019217.4978824
218,1774019217.6448362
216,1774019217.7916174
219,1774019217.938344
220,1774019218.0850627
217,1774019218.2318425
216,1774019218.3786314
218,1774019218.527967
218,1774019218.6748807
220,1774019218.8218184
220,1774019218.9687703
218,1774019219.1155577
218,1774019219.262348
218,1774019219.4094226
215,1774019219.5462477
217,1774019219.6930563
219,1774019219.8398507
219,1774019219.9866037
218,1774019220.1334817
218,1774019220.2801902
216,1774019220.4271517
217,1774019220.5639498
221,1774019220.7104826
217,1774019220.857243
215,1774019221.0039585
218,1774019221.1506956
218,1774019221.2975059
217,1774019221.4460568
218,1774019221.583867
219,1774019221.7295046
221,1774019221.8762534
220,1774019222.022984
216,1774019222.1697059
216,1774019222.3164043
218,1774019222.4606795
219,1774019222.6003187
218,1774019222.747172
215,1774019222.8938906
220,1774019223.0406113
216,1774019223.18738
217,1774019223.3341463
218,1774019223.4807937
220,1774019223.619599
217,1774019223.7664719
218,1774019223.91354
217,1774019224.06047
216,1774019224.207231
218,1774019224.3539329
219,1774019224.500861
218,1774019224.6374068
216,1774019224.7844539
216,1774019224.9314268
218,1774019225.0783365
219,1774019225.2253318
216,1774019225.3722675
217,1774019225.5102074
219,1774019225.6576655
218,1774019225.8048317
217,1774019225.9518888
215,1774019226.098603
216,1774019226.2457232
219,1774019226.3924055
217,1774019226.5395353
214,1774019226.6868412
217,1774019226.833918
216,1774019226.9809537
217,1774019227.1279242
