Distance_cm,Timestamp
30,1774010972.4815793
30,1774010972.5205894
30,1774010972.5595267
30,1774010972.5985394
30,1774010972.637634
30,1774010972.6766171
30,1774010972.7155373
30,1774010972.7544057
30,1774010972.7933273
30,1774010972.8322506
30,1774010972.8711803
30,1774010972.9100654
30,1774010972.948957
30,1774010972.9878578
30,1774010973.0267613
30,1774010973.0656488
30,1774010973.1045375
30,1774010973.1434557
30,1774010973.1823733
30,1774010973.2212834
29,1774010973.2601583
29,1774010973.2991111
29,1774010973.3379927
29,1774010973.3768659
29,1774010973.4157515
29,1774010973.454621
29,1774010973.4935374
29,1774010973.5324566
29,1774010973.5713992
29,1774010973.6105936
29,1774010973.6474948
29,1774010973.6832855
29,1774010973.7190106
29,1774010973.7574384
29,1774010973.796397
29,1774010973.8353026
29,1774010973.8742092
29,1774010973.9131105
29,1774010973.9519877
29,1774010973.990879
29,1774010974.0297823
29,1774010974.068757
29,1774010974.1076515
29,1774010974.1465626
29,1774010974.1854858
29,1774010974.2244084
29,1774010974.2633016
29,1774010974.3021839
29,1774010974.3410654
29,1774010974.3799524
29,1774010974.4188464
30,1774010974.4577327
30,1774010974.4966414
29,1774010974.535503
29,1774010974.5744665
29,1774010974.6135666
30,1774010974.652521
30,1774010974.6887777
30,1774010974.7244802
30,1774010974.760171
30,1774010974.798899
30,1774010974.83789
30,1774010974.876833
30,1774010974.915724
30,1774010974.954608
30,1774010974.993506
30,1774010975.0324082
30,1774010975.071351
30,1774010975.1102493
30,1774010975.1491692
30,1774010975.188112
29,1774010975.2270489
29,1774010975.265944
29,1774010975.3048542
29,1774010975.3437328
29,1774010975.3826265
28,1774010975.421502
28,1774010975.4604416
28,1774010975.4993594
28,1774010975.5382495
28,1774010975.577196
27,1774010975.615163
27,1774010975.6509666
26,1774010975.6868386
25,1774010975.723879
23,1774010975.7628105
22,1774010975.8017023
22,1774010975.8406332
22,1774010975.8795304
21,1774010975.9184265
21,1774010975.9573107
21,1774010975.9961872
21,1774010976.0351114
21,1774010976.0739923
21,1774010976.112857
21,1774010976.1517444
21,1774010976.190676
21,1774010976.229582
21,1774010976.2684784
22,1774010976.307352
21,1774010976.346228
22,1774010976.3850954
21,1774010976.4239843
21,1774010976.4628708
21,1774010976.5017798
21,1774010976.540672
21,1774010976.579617
21,1774010976.6187613
21,1774010976.6545768
21,1774010976.6903193
20,1774010976.7260745
21,1774010976.7649322
21,1774010976.8038325
21,1774010976.8427298
21,1774010976.8816202
21,1774010976.9205225
22,1774010976.9593945
22,1774010976.9982622
22,1774010977.0371454
23,1774010977.0760136
23,1774010977.1148844
23,1774010977.1537485
22,1774010977.1926801
22,1774010977.231577
22,1774010977.2704613
22,1774010977.309321
22,1774010977.3482058
21,1774010977.3871224
21,1774010977.4259984
21,1774010977.4648602
22,1774010977.503738
22,1774010977.542636
23,1774010977.5816374
23,1774010977.6176515
22,1774010977.6534002
22,1774010977.6891627
22,1774010977.7280455
22,1774010977.7669718
22,1774010977.8058808
21,1774010977.8448248
21,1774010977.883697
21,1774010977.9225817
21,1774010977.9614892
21,1774010978.0004215
21,1774010978.039297
21,1774010978.078156
21,1774010978.1170275
22,1774010978.1559026
22,1774010978.194831
22,1774010978.2336981
22,1774010978.2725773
