Distance_cm,Timestamp
275,1774018109.4116023
273,1774018109.547473
271,1774018109.6942565
275,1774018109.841064
271,1774018109.9878194
277,1774018110.1344953
273,1774018110.281872
272,1774018110.4286542
276,1774018110.5758557
270,1774018110.7229137
276,1774018110.869978
277,1774018111.0170414
276,1774018111.1637352
273,1774018111.3105335
276,1774018111.4575875
269,1774018111.5954187
270,1774018111.7420738
263,1774018111.8892143
263,1774018112.0362115
258,1774018112.1831846
254,1774018112.3299162
251,1774018112.4768038
248,1774018112.6238403
245,1774018112.770705
244,1774018112.9174595
243,1774018113.0641901
238,1774018113.2109282
241,1774018113.3579657
238,1774018113.5053275
232,1774018113.6525679
235,1774018113.799783
232,1774018113.9470239
232,1774018114.0943017
229,1774018114.2410264
230,1774018114.3877473
228,1774018114.5351806
228,1774018114.68263
226,1774018114.830078
224,1774018114.9771461
223,1774018115.1241772
223,1774018115.2712135
221,1774018115.4183865
219,1774018115.5656946
220,1774018115.712798
219,1774018115.8598404
223,1774018116.0067933
218,1774018116.1537778
221,1774018116.3007832
221,1774018116.4478855
219,1774018116.5950716
221,1774018116.7420995
220,1774018116.889039
221,1774018117.035974
220,1774018117.1828978
221,1774018117.32957
221,1774018117.4768732
219,1774018117.6244934
220,1774018117.771848
220,1774018117.9189177
219,1774018118.0660195
225,1774018118.2131495
218,1774018118.3602529
219,1774018118.5075462
220,1774018118.654791
219,1774018118.8018217
222,1774018118.9488475
221,1774018119.0958195
220,1774018119.2428398
222,1774018119.3898122
222,1774018119.5369608
222,1774018119.6841552
222,1774018119.8311727
222,1774018119.9781315
219,1774018120.125087
217,1774018120.2721398
222,1774018120.4192405
219,1774018120.566498
223,1774018120.7135973
224,1774018120.8606036
223,1774018121.007566
222,1774018121.1545362
218,1774018121.3016446
220,1774018121.4487083
217,1774018121.5958855
219,1774018121.7428923
220,1774018121.88989
218,1774018122.0368652
219,1774018122.1838074
219,1774018122.3308396
221,1774018122.4779222
220,1774018122.625204
217,1774018122.7722206
220,1774018122.9192448
223,1774018123.0662396
