Distance_cm,Timestamp
295,1774015560.1511385
297,1774015560.298612
299,1774015560.4460905
303,1774015560.5936441
297,1774015560.740826
300,1774015560.888199
297,1774015561.0353982
296,1774015561.1825387
296,1774015561.329841
296,1774015561.4746208
296,1774015561.6147983
300,1774015561.762249
299,1774015561.9091184
301,1774015562.0559042
302,1774015562.2031085
300,1774015562.3501844
291,1774015562.4964821
293,1774015562.6353314
292,1774015562.7826312
291,1774015562.929816
289,1774015563.0770066
282,1774015563.2242284
283,1774015563.371354
280,1774015563.5094528
281,1774015563.6566567
273,1774015563.8037887
276,1774015563.9510584
277,1774015564.0981855
274,1774015564.2450168
272,1774015564.3922405
268,1774015564.5398097
265,1774015564.6874194
268,1774015564.8351119
264,1774015564.9825523
263,1774015565.1302526
263,1774015565.2770634
260,1774015565.424209
262,1774015565.571205
258,1774015565.7180018
256,1774015565.8648248
252,1774015566.0116618
252,1774015566.1585233
247,1774015566.3053246
249,1774015566.452315
242,1774015566.599277
245,1774015566.7461746
249,1774015566.8929868
246,1774015567.0397937
246,1774015567.1866083
248,1774015567.333472
245,1774015567.4805431
241,1774015567.627576
239,1774015567.7743626
241,1774015567.9211998
242,1774015568.068037
237,1774015568.2149389
239,1774015568.3623302
237,1774015568.509488
238,1774015568.6564803
233,1774015568.8033648
237,1774015568.9502873
235,1774015569.097212
237,1774015569.2440145
240,1774015569.39082
236,1774015569.5378425
238,1774015569.6848118
236,1774015569.8316379
237,1774015569.9785178
237,1774015570.1254787
235,1774015570.272286
237,1774015570.4194915
240,1774015570.5665593
236,1774015570.713523
240,1774015570.8603458
239,1774015571.0072124
242,1774015571.1541417
243,1774015571.3009667
239,1774015571.447994
246,1774015571.5949903
246,1774015571.7418606
243,1774015571.8886473
241,1774015572.0355003
246,1774015572.1823757
244,1774015572.3293488
243,1774015572.476063
244,1774015572.613467
247,1774015572.7602909
247,1774015572.9070988
243,1774015573.0539615
245,1774015573.200838
244,1774015573.347636
244,1774015573.4950175
246,1774015573.6314762
247,1774015573.7783222
248,1774015573.925178
243,1774015574.0719998
247,1774015574.2188358
246,1774015574.3656447
247,1774015574.5029552
248,1774015574.6495318
241,1774015574.796373
246,1774015574.9432328
240,1774015575.0901647
242,1774015575.2370272
244,1774015575.3838174
