X_mm,Y_mm,Timestamp
257,450,1771844343.649212
256,450,1771844343.7815952
257,450,1771844343.7815952
180,450,1771844343.7960472
255,221,1771844343.857751
255,451,1771844343.857751
257,450,1771844343.9280243
131,446,1771844343.985101
256,451,1771844344.0413384
256,450,1771844344.1144392
256,447,1771844344.1144392
257,446,1771844344.178139
189,450,1771844344.2425733
256,450,1771844344.2915485
255,451,1771844344.3653903
257,451,1771844344.3653903
257,450,1771844344.4164085
256,452,1771844344.4716725
255,451,1771844344.534651
256,447,1771844344.5872471
255,452,1771844344.6506782
255,452,1771844344.7005956
256,448,1771844344.7607877
257,371,1771844344.8184705
255,451,1771844344.8184705
256,450,1771844344.881497
256,450,1771844344.954775
256,450,1771844344.954775
257,450,1771844345.0280597
208,452,1771844345.0572212
255,452,1771844345.1126726
256,451,1771844345.173253
179,450,1771844345.2388692
255,451,1771844345.3071637
257,450,1771844345.363334
256,450,1771844345.363334
145,450,1771844345.4264727
250,452,1771844345.4877691
256,452,1771844345.5429688
255,285,1771844345.6168606
255,451,1771844345.6168606
257,450,1771844345.6921878
256,452,1771844345.7432094
256,450,1771844345.8064723
256,452,1771844345.8064723
256,450,1771844345.8486156
257,450,1771844345.911945
256,450,1771844345.9857924
257,450,1771844346.0492127
256,247,1771844346.120697
257,450,1771844346.120697
256,451,1771844346.1841483
255,452,1771844346.2600965
256,452,1771844346.2600965
257,450,1771844346.323308
256,450,1771844346.386565
257,450,1771844346.4605951
256,450,1771844346.5449438
256,446,1771844346.5449438
256,234,1771844346.6186686
255,446,1771844346.6186686
167,450,1771844346.6796358
256,450,1771844346.7447727
257,236,1771844346.7974613
255,451,1771844346.7974613
257,450,1771844346.8693523
255,452,1771844346.9238648
255,451,1771844346.986688
255,451,1771844347.057501
257,450,1771844347.057597
256,451,1771844347.1232622
256,451,1771844347.184103
256,452,1771844347.260015
256,451,1771844347.260015
257,450,1771844347.331434
256,450,1771844347.3953905
256,325,1771844347.461239
255,451,1771844347.461239
257,450,1771844347.5433846
256,450,1771844347.6193206
256,450,1771844347.6193206
256,451,1771844347.6934593
256,450,1771844347.7569144
256,450,1771844347.7569144
256,452,1771844347.820271
141,451,1771844347.880018
255,452,1771844347.934508
256,446,1771844347.9959471
256,265,1771844348.050282
255,447,1771844348.050282
261,444,1771844348.1130974
222,446,1771844348.1868806
404,441,1771844348.24797
404,215,1771844348.3133047
403,439,1771844348.3133047
263,436,1771844348.374547
253,434,1771844348.4400136
245,432,1771844348.502875
240,431,1771844348.566239
241,428,1771844348.566239
236,425,1771844348.6302438
239,423,1771844348.6938467
236,422,1771844348.789294
234,420,1771844348.789294
236,417,1771844348.8398345
234,415,1771844348.9056613
234,411,1771844348.9056613
234,410,1771844348.9690578
121,408,1771844349.0323565
240,405,1771844349.0925372
249,404,1771844349.166545
252,401,1771844349.166545
252,399,1771844349.230156
257,395,1771844349.2932172
257,393,1771844349.3563626
264,392,1771844349.3563626
267,390,1771844349.408175
269,387,1771844349.4892428
265,384,1771844349.544105
265,383,1771844349.6072114
255,385,1771844349.6072114
252,378,1771844349.670367
159,376,1771844349.7335286
248,374,1771844349.7968278
253,370,1771844349.8599827
253,369,1771844349.8599827
267,365,1771844349.923385
266,364,1771844349.997334
246,241,1771844350.0579278
246,360,1771844350.1199043
246,358,1771844350.1199043
252,355,1771844350.1745105
265,353,1771844350.2483978
276,258,1771844350.3323917
276,349,1771844350.3323917
251,346,1771844350.3851435
250,345,1771844350.4483573
265,252,1771844350.5094829
276,340,1771844350.5115433
280,337,1771844350.5725217
273,335,1771844350.637991
263,332,1771844350.6910348
265,330,1771844350.7547126
419,328,1771844350.7547126
412,327,1771844350.8179424
286,323,1771844350.8918662
271,321,1771844350.8918662
272,320,1771844350.9551713
286,316,1771844351.018469
206,314,1771844351.0796072
283,312,1771844351.14515
401,284,1771844351.2409575
315,307,1771844351.3037262
278,305,1771844351.3037262
284,302,1771844351.3666904
405,300,1771844351.3666904
186,299,1771844351.4482806
303,224,1771844351.5138803
297,297,1771844351.5138803
410,291,1771844351.5771165
413,288,1771844351.6298144
291,286,1771844351.701073
285,286,1771844351.701073
281,287,1771844351.7560923
549,283,1771844351.8196025
544,277,1771844351.8913236
279,275,1771844351.9547243
274,273,1771844351.9547243
274,271,1771844352.0097206
274,269,1771844352.0729954
269,267,1771844352.1364403
269,263,1771844352.2080257
265,262,1771844352.2080257
262,260,1771844352.2740397
261,258,1771844352.336285
257,255,1771844352.408014
257,253,1771844352.4710262
261,252,1771844352.4710262
261,252,1771844352.5229814
261,251,1771844352.5777946
261,256,1771844352.6494057
261,251,1771844352.7128274
261,251,1771844352.7128274
264,250,1771844352.7781367
263,254,1771844352.8308666
263,250,1771844352.9024427
263,250,1771844352.9024427
263,251,1771844352.957495
264,254,1771844353.0207906
264,250,1771844353.084188
263,253,1771844353.147631
259,247,1771844353.147631
260,246,1771844353.211005
259,243,1771844353.273679
259,241,1771844353.3370376
258,240,1771844353.4004383
254,238,1771844353.4004383
261,235,1771844353.4721887
258,233,1771844353.5272274
258,231,1771844353.5905886
261,227,1771844353.5905886
259,226,1771844353.653991
261,224,1771844353.7281451
256,222,1771844353.7810402
254,219,1771844353.844301
258,217,1771844353.844301
259,215,1771844353.9077477
260,212,1771844353.9709382
263,210,1771844354.0342898
259,208,1771844354.1050408
255,204,1771844354.1050408
259,203,1771844354.1601188
256,201,1771844354.2235138
254,199,1771844354.2865245
254,196,1771844354.3493612
255,197,1771844354.3493612
254,192,1771844354.420512
258,193,1771844354.4752762
261,186,1771844354.5308905
264,183,1771844354.59104
262,182,1771844354.6652167
262,180,1771844354.6652167
267,178,1771844354.7286773
269,175,1771844354.7813573
269,177,1771844354.855345
286,171,1771844354.855345
411,173,1771844354.9079633
415,166,1771844354.9713895
420,164,1771844355.034804
288,162,1771844355.1193225
278,159,1771844355.1193225
282,157,1771844355.1826859
277,155,1771844355.246254
273,152,1771844355.246254
281,150,1771844355.3093493
287,152,1771844355.3725288
281,147,1771844355.4437602
269,147,1771844355.5197866
267,142,1771844355.5197866
268,144,1771844355.582733
266,136,1771844355.646089
270,135,1771844355.646089
277,132,1771844355.7091658
269,129,1771844355.7725012
257,129,1771844355.835909
253,125,1771844355.8990834
258,128,1771844355.8990834
265,121,1771844355.962609
269,123,1771844356.0343034
270,111,1771844356.0893812
266,115,1771844356.1588304
262,111,1771844356.1588304
256,108,1771844356.216646
253,108,1771844356.2794707
254,104,1771844356.3427851
257,106,1771844356.406093
259,97,1771844356.406093
273,99,1771844356.4694297
319,92,1771844356.5430937
244,98,1771844356.5958178
244,87,1771844356.6773033
246,89,1771844356.6773033
248,83,1771844356.7476945
251,85,1771844356.8053067
259,83,1771844356.8053067
261,79,1771844356.857882
260,74,1771844356.9177635
261,70,1771844356.9869266
268,72,1771844357.0338235
275,67,1771844357.1191504
249,68,1771844357.1191504
238,62,1771844357.163549
235,64,1771844357.2272332
239,57,1771844357.2898705
235,58,1771844357.3523932
234,54,1771844357.3523932
247,54,1771844357.4156342
268,50,1771844357.4898462
243,48,1771844357.550734
243,48,1771844357.606036
242,49,1771844357.606036
245,49,1771844357.6692078
245,48,1771844357.7325823
245,47,1771844357.8255298
245,48,1771844357.8255298
243,49,1771844357.8804817
243,49,1771844357.9438782
243,49,1771844358.0071454
242,49,1771844358.0071454
244,49,1771844358.0702713
245,49,1771844358.1416566
243,49,1771844358.20703
243,49,1771844358.20703
243,49,1771844358.2593951
243,49,1771844358.3309982
242,49,1771844358.386133
242,49,1771844358.457662
243,49,1771844358.5125027
243,48,1771844358.5125027
244,48,1771844358.5733628
242,49,1771844358.605015
243,49,1771844358.6595323
245,48,1771844358.7328029
235,48,1771844358.7981427
243,48,1771844358.8509572
243,49,1771844358.9137418
243,49,1771844358.9137418
245,47,1771844358.9979794
243,49,1771844359.0610096
243,49,1771844359.0610096
245,47,1771844359.138698
243,48,1771844359.191317
243,47,1771844359.263215
243,49,1771844359.263215
243,49,1771844359.318482
243,49,1771844359.3818073
245,49,1771844359.4451954
242,49,1771844359.5084205
242,49,1771844359.5084205
243,49,1771844359.571651
242,49,1771844359.635605
242,49,1771844359.698949
243,47,1771844359.7808785
243,49,1771844359.7808785
244,48,1771844359.825362
243,49,1771844359.8991787
243,49,1771844359.909676
243,49,1771844359.9517984
242,49,1771844360.0237026
242,49,1771844360.055517
